Passo;Reservat rio (Ativa  es);Sa da (Ativa  es)
20;0.166098,0.333102,0.596183,-0.0908863,0.454599,0.371664,0.244651,0.315261,0.497575,-0.54486,0.738761,0.644635,0.431911,-0.978063,0.598453,-0.640213,-0.374194,-0.79985,0.313395,-0.853858,0.809263,0.445319,-0.0144198,0.442708,-0.214279,-0.93955,0.65229,0.0916289,0.582328,-0.883713,-0.914102,0.457949,-0.858199,0.704002,0.495086,0.169322,0.933898,0.443743,-0.32147,-0.691305,-0.35451,-0.623816,0.718269,-0.229869,-0.0661376,-0.115325,0.79185,0.262888,-0.488682,0.115724;-11.6478,-1.07759,-5.44747,2.46675
21;0.0664938,0.121487,0.473475,-0.31792,0.511526,0.231762,0.136606,0.456571,0.47327,-0.405998,0.788994,0.559771,-0.0971813,-0.961118,0.514019,-0.643642,-0.279648,-0.770572,0.0162514,-0.790795,0.703702,0.292312,-0.13497,0.334389,-0.219654,-0.947374,0.643882,-0.133679,0.631069,-0.888393,-0.884178,0.77414,-0.847606,0.671855,0.625669,0.202292,0.947486,0.311355,-0.397621,-0.483175,-0.511838,-0.72471,0.732455,-0.552668,-0.106761,-0.271423,0.800893,0.0358279,-0.564694,0.00923583;-10.0212,2.07168,-2.51564,0.649095
22;-0.270145,-0.0732483,0.634668,0.522747,0.325318,0.326205,-0.491241,0.771777,0.0518926,-0.596513,0.416831,0.37606,-0.0666465,-0.728276,-0.0293576,-0.605969,-0.115476,-0.298366,0.750588,-0.349758,-0.270213,-0.0532266,0.158688,-0.269693,0.569159,-0.846664,0.0889872,0.038692,0.335375,-0.885752,-0.884265,0.244189,-0.819312,0.452152,0.0174293,0.182366,0.773647,-0.140298,-0.362682,-0.521386,-0.540268,-0.0408188,0.563712,0.461128,-0.149548,0.593714,0.894324,0.190096,-0.281488,-0.772806;-10.1709,-1.31283,1.23918,2.18579
23;-0.504968,-0.401841,0.595447,0.40923,0.465929,0.166634,-0.535211,0.807627,-0.246415,0.0737404,0.628083,0.228139,-0.505709,-0.27331,-0.134595,-0.470451,-0.650823,-0.582195,0.604874,-0.0664837,-0.532937,-0.398669,-0.179026,-0.123799,0.569173,-0.505112,0.158528,0.305923,0.420496,-0.797156,-0.762395,0.72128,-0.565532,-0.0580925,0.397418,0.32926,0.863837,-0.319208,-0.799181,-0.582711,-0.249689,-0.528206,-0.0444061,-0.180874,-0.172029,-0.0391644,0.518331,-0.159088,-0.170012,-0.395975;-5.32908,-2.12617,3.17272,-0.372655
24;0.542991,-0.27978,0.69316,-0.0729389,0.751084,-0.172313,-0.735242,0.811622,0.402549,-0.101924,0.889917,0.878552,-0.562812,-0.573222,0.113093,-0.223477,-0.652747,-0.933605,0.39214,-0.82086,0.423171,0.294353,-0.0539955,0.14082,-0.454145,-0.369848,0.414743,-0.557488,0.303749,-0.576711,-0.690421,0.704065,-0.454041,0.614048,0.370036,0.0502571,0.988551,0.572107,-0.643021,0.108143,-0.584771,-0.924258,0.87004,-0.696181,-0.408024,-0.396723,0.817347,0.0357691,0.199657,0.622399;-2.24336,0.357367,-6.27995,5.72492
25;0.276164,0.439708,0.929813,-0.138188,0.878879,-0.186612,-0.857094,0.864369,0.827851,-0.092922,0.834602,0.646621,0.199899,-0.95961,0.000583293,-0.403984,0.220187,-0.968761,-0.114776,-0.683464,0.521371,0.706392,-0.253231,0.283842,-0.792503,-0.942686,0.646448,-0.506725,-0.150119,-0.284082,-0.108123,0.662937,-0.721562,0.969192,0.00910043,0.198741,0.966187,0.927274,-0.633857,-0.67711,-0.651353,-0.966892,0.915403,-0.294942,-0.666409,0.05907,0.858905,0.369711,-0.297634,0.484696;-9.48905,3.97718,-5.28115,5.1108
26;0.17743,0.576681,0.944097,-0.139431,0.892363,-0.336806,0.126233,0.909274,0.81087,-0.341375,0.685821,0.810625,0.686202,-0.975766,-0.231727,-0.487882,0.371046,-0.967005,-0.201424,-0.68793,0.629713,0.776813,-0.0946349,0.237,-0.83834,-0.941081,0.509781,-0.445708,-0.0786653,-0.584779,-0.56012,0.774165,-0.614828,0.944273,0.300125,0.55203,0.92574,0.964931,-0.454848,-0.757612,-0.71337,-0.948269,0.802024,-0.633818,-0.454278,-0.199501,0.812041,0.309145,-0.553969,0.609775;-8.4988,4.32204,-4.93553,3.61739
27;0.18406,0.534009,0.682393,0.0856062,0.483502,0.21526,0.666273,0.533774,0.714925,-0.488674,0.700867,0.575875,0.335564,-0.982552,0.419501,-0.683602,-0.50592,-0.762039,-0.0959762,-0.783622,0.890094,0.481086,0.310492,0.393466,-0.29756,-0.945841,0.596598,0.160137,0.629408,-0.932552,-0.936701,0.721574,-0.919709,0.74215,0.555569,0.587655,0.90656,0.796273,-0.236784,-0.824646,-0.54748,-0.671293,0.689441,-0.602388,-0.138285,-0.553978,0.686364,-0.0307052,-0.316276,0.461088;-9.50753,0.480628,-5.88754,2.79201
28;0.589408,0.518539,0.850238,-0.138982,0.694823,-0.179664,-0.195583,0.704253,0.307711,-0.574903,0.433413,0.874487,0.542958,-0.942692,0.162654,-0.35978,0.0163593,-0.913442,0.494076,-0.943484,0.597686,0.636412,0.0261122,0.260272,-0.420887,-0.873316,0.178189,-0.411484,0.236579,-0.702938,-0.857761,0.128622,-0.672912,0.850245,0.228392,0.0337699,0.973462,0.751818,-0.162839,-0.344232,-0.740825,-0.848777,0.857031,-0.507948,-0.286223,0.275047,0.918117,0.61136,-0.514419,-0.063501;-11.3211,0.647984,-6.64476,5.85611
29;0.370199,-0.0914853,0.788705,-0.468834,0.794874,-0.821681,-0.288814,0.554793,0.390217,0.294778,0.246014,0.698779,-0.133622,-0.948806,0.343872,-0.464429,0.200638,-0.919751,-0.28989,-0.713092,0.523432,0.482703,0.356961,0.623089,-0.591826,-0.94773,0.0127977,-0.126465,0.591579,-0.449275,-0.842808,0.670017,-0.571242,0.898363,0.471507,0.50192,0.986296,0.908248,-0.398509,-0.0908744,-0.599375,-0.883747,0.916226,-0.933111,-0.533235,-0.521547,0.956715,-0.155343,-0.655099,-0.26475;-6.15258,9.02013,-1.82596,3.37475
30;0.569896,0.21417,0.953504,0.194775,0.760145,-0.380137,-0.524697,0.917879,0.195574,-0.748452,0.299865,0.931683,0.0472625,-0.552999,-0.302133,-0.582904,0.572738,-0.715606,0.505516,-0.813862,-0.139823,0.643637,0.537042,0.20051,-0.0486982,-0.906418,-0.0432831,-0.432381,0.127373,-0.513614,-0.761775,-0.173047,-0.72019,0.921342,-0.0795696,0.318743,0.898399,0.556471,-0.268214,-0.665334,-0.745681,-0.699836,0.81247,-0.501215,-0.702952,0.458407,0.932985,-0.186925,0.00380817,-0.132105;-5.99621,1.94521,-2.88019,7.94288
31;0.558099,0.444103,0.869541,-0.425714,0.791175,-0.57659,0.338643,0.878619,0.315992,0.154815,0.600969,0.844817,0.0179572,-0.8039,0.173655,-0.194524,-0.46453,-0.920824,-0.373633,-0.854837,0.493737,0.539878,-0.0718047,0.391511,-0.454261,-0.851704,0.252166,-0.106711,0.258238,-0.568745,-0.708621,0.810402,-0.720316,0.806925,0.591094,0.565106,0.985995,0.821975,-0.498461,-0.456086,-0.667878,-0.930197,0.890974,-0.945882,-0.389564,-0.695572,0.773623,0.0416697,-0.057465,0.614949;-6.15403,2.48058,-5.51465,3.54195
32;0.351579,0.454008,0.936383,-0.0734809,0.736396,-0.196787,-0.55185,0.719173,0.654811,-0.465232,0.862447,0.907373,0.807258,-0.969741,-0.0306584,-0.465203,0.222254,-0.95804,0.144991,-0.865203,0.504331,0.840255,-0.095068,0.192425,-0.7909,-0.962201,0.585555,-0.420686,-0.222768,-0.370897,-0.525783,0.598072,-0.673381,0.969518,-0.147541,0.272151,0.903268,0.951534,-0.272597,-0.675789,-0.630923,-0.926881,0.935046,-0.0730482,-0.5142,0.389439,0.88712,0.758076,-0.484489,0.448025;-10.2712,0.845155,-6.92172,5.86982
33;0.0933575,0.594603,0.931112,-0.202815,0.862162,-0.351117,-0.0176367,0.892555,0.687463,-0.169656,0.728153,0.7332,0.644401,-0.976007,-0.366423,-0.518166,0.395472,-0.968747,-0.164969,-0.754123,0.529078,0.736529,-0.272731,0.273937,-0.806517,-0.968414,0.502468,-0.419043,-0.0316943,-0.553539,-0.674148,0.86884,-0.646429,0.951121,0.459655,0.55595,0.919199,0.967486,-0.498824,-0.734136,-0.698795,-0.960877,0.767406,-0.743114,-0.456474,-0.286654,0.776617,0.455141,-0.706281,0.246338;-8.68446,5.83694,-3.15939,2.67948
34;0.22365,0.300118,0.643445,0.115862,0.501307,0.106717,0.581376,0.575681,0.630151,-0.446218,0.74995,0.640822,0.258389,-0.970218,0.371514,-0.684562,-0.524672,-0.750484,0.0350473,-0.75103,0.839496,0.452553,0.273135,0.33363,-0.272838,-0.93634,0.600722,0.07666,0.614981,-0.94285,-0.948898,0.74094,-0.880358,0.741786,0.535228,0.607927,0.892744,0.786104,-0.265027,-0.79962,-0.598365,-0.658438,0.717552,-0.551355,-0.157105,-0.518518,0.685869,-0.111117,-0.27657,0.408908;-8.00577,0.188614,-4.966,2.86451
35;0.156233,0.315933,0.568175,-0.066833,0.45834,0.34607,0.157855,0.320606,0.506367,-0.498472,0.76338,0.623054,0.220598,-0.974137,0.594278,-0.631868,-0.418532,-0.803989,0.319282,-0.84023,0.800891,0.406547,-0.0141424,0.4358,-0.211824,-0.938298,0.655763,0.0607731,0.590155,-0.889573,-0.911552,0.513976,-0.861902,0.695729,0.506619,0.168207,0.948928,0.44817,-0.391684,-0.700468,-0.393026,-0.665832,0.705821,-0.237203,-0.0787497,-0.139756,0.779525,0.221376,-0.383022,0.141822;-11.0024,-0.988041,-5.36149,2.72589
36;0.0717965,0.130303,0.490653,-0.291032,0.54415,0.249923,0.0843664,0.470171,0.52953,-0.418587,0.791635,0.575845,-0.103783,-0.96007,0.557087,-0.628866,-0.288906,-0.774701,0.0372521,-0.775214,0.717471,0.28688,-0.113708,0.341306,-0.220227,-0.941514,0.646012,-0.148784,0.631436,-0.886422,-0.867598,0.760239,-0.849491,0.667452,0.61613,0.183192,0.950522,0.305308,-0.412766,-0.49965,-0.505948,-0.724721,0.728111,-0.522081,-0.103338,-0.263006,0.811023,-0.0129402,-0.450355,0.0283817;-9.69952,1.92377,-2.8846,0.935177
37;-0.278376,-0.0604199,0.651737,0.52214,0.343281,0.33106,-0.48479,0.780466,0.0868725,-0.60281,0.39419,0.381183,-0.0655083,-0.742167,0.032583,-0.587485,-0.115141,-0.308762,0.732638,-0.330505,-0.26142,-0.0610335,0.157056,-0.259175,0.566507,-0.84577,0.0883245,0.0602943,0.341015,-0.872055,-0.864089,0.217435,-0.825548,0.444939,0.0150119,0.171947,0.791246,-0.150291,-0.394615,-0.548842,-0.529824,-0.0495028,0.558634,0.453108,-0.139922,0.590682,0.89765,0.161644,-0.290085,-0.761014;-10.5047,-1.32084,1.08256,2.17111
38;-0.503749,-0.398877,0.612798,0.40024,0.466546,0.16628,-0.502394,0.807756,-0.226391,0.0474447,0.621623,0.245476,-0.495341,-0.292653,-0.136603,-0.473305,-0.647109,-0.582024,0.591643,-0.0713222,-0.528878,-0.392881,-0.178544,-0.12723,0.565945,-0.506762,0.153714,0.316149,0.421125,-0.800119,-0.761039,0.711303,-0.573991,-0.0658267,0.3893,0.321061,0.863751,-0.324032,-0.799433,-0.591587,-0.240051,-0.520944,-0.0269559,-0.195241,-0.15677,-0.0260912,0.542147,-0.155552,-0.192855,-0.371643;-5.54615,-2.26662,3.01429,-0.39505
39;0.544257,-0.265965,0.698493,-0.0761039,0.744094,-0.172402,-0.725465,0.810818,0.40651,-0.105399,0.886978,0.877158,-0.556701,-0.590318,0.0904455,-0.231863,-0.65247,-0.933111,0.38652,-0.82641,0.427354,0.300005,-0.0568557,0.1389,-0.454399,-0.383363,0.408035,-0.550228,0.301556,-0.580012,-0.696797,0.708321,-0.467187,0.613012,0.376576,0.0522679,0.988463,0.57383,-0.634563,0.116725,-0.590838,-0.925632,0.874294,-0.702125,-0.405103,-0.388891,0.814418,0.0541766,0.194312,0.619165;-2.39063,0.380132,-6.27077,5.72665
40;0.277359,0.435986,0.930722,-0.135869,0.879103,-0.187874,-0.859485,0.864943,0.824915,-0.0828681,0.832136,0.644906,0.210804,-0.959912,-0.00198811,-0.405036,0.221037,-0.968678,-0.10812,-0.686107,0.518014,0.707798,-0.255596,0.281167,-0.791943,-0.944165,0.642967,-0.50544,-0.151178,-0.28594,-0.116823,0.665082,-0.719779,0.969676,0.0165894,0.202136,0.965121,0.927755,-0.629645,-0.672139,-0.653734,-0.96668,0.915858,-0.29595,-0.669254,0.0721767,0.856976,0.374445,-0.296898,0.474796;-9.46692,3.97947,-5.221,5.10451
41;0.178408,0.570894,0.9441,-0.138896,0.892616,-0.339041,0.114833,0.909477,0.808372,-0.334574,0.687865,0.811708,0.682448,-0.975472,-0.231606,-0.486998,0.368522,-0.967069,-0.198882,-0.686448,0.626689,0.775847,-0.0932695,0.235551,-0.837728,-0.941366,0.509809,-0.446059,-0.0786204,-0.583934,-0.561614,0.778262,-0.611755,0.944637,0.30632,0.552571,0.925556,0.965046,-0.459219,-0.758016,-0.713974,-0.948489,0.801588,-0.637713,-0.45604,-0.196753,0.812564,0.307929,-0.554029,0.606503;-8.45276,4.33016,-4.89921,3.62268
42;0.185528,0.531182,0.6817,0.0873715,0.485542,0.21391,0.662441,0.536276,0.716665,-0.488819,0.70308,0.577974,0.331991,-0.982398,0.418862,-0.683507,-0.506816,-0.762134,-0.0937059,-0.78148,0.889857,0.48035,0.31183,0.393886,-0.297238,-0.945692,0.5967,0.160694,0.629065,-0.932791,-0.9367,0.722869,-0.919625,0.741608,0.556221,0.58688,0.907067,0.796434,-0.239011,-0.824916,-0.546886,-0.672272,0.690645,-0.602522,-0.138114,-0.552103,0.687672,-0.0371052,-0.310574,0.458892;-9.45513,0.4729,-5.87217,2.81319
43;0.166331,0.337647,0.596954,-0.0899624,0.454081,0.37377,0.248232,0.314223,0.501726,-0.547777,0.739788,0.64354,0.43134,-0.978295,0.596349,-0.641351,-0.374685,-0.799656,0.313276,-0.854298,0.810901,0.446028,-0.0122765,0.442051,-0.214572,-0.939477,0.652332,0.0910848,0.582426,-0.884522,-0.914376,0.457916,-0.859432,0.703816,0.494057,0.16929,0.933991,0.444237,-0.318884,-0.691453,-0.355301,-0.6242,0.718892,-0.229843,-0.0650646,-0.115713,0.792685,0.264245,-0.488112,0.1179;-11.6576,-1.07915,-5.47205,2.47511
44;0.519213,0.331732,0.795642,-0.360444,0.731967,-0.326443,-0.305908,0.779523,0.273399,-0.438084,0.521183,0.839337,0.0509221,-0.899087,0.0473595,-0.361694,0.121683,-0.900176,0.228457,-0.917111,0.408113,0.517409,-0.0987804,0.13969,-0.425213,-0.889413,0.16386,-0.579351,0.307864,-0.710308,-0.808223,0.580254,-0.648308,0.832383,0.402414,0.0676377,0.979223,0.676083,-0.252361,-0.037618,-0.816461,-0.893593,0.864437,-0.738813,-0.324335,0.120157,0.921475,0.443136,-0.58618,-0.171475;-9.87029,3.52534,-3.81692,4.19185
