Passo;Reservat rio (Ativa  es);Sa da (Ativa  es)
20;0.410241,0.795756,0.687788,0.610531,0.6228,-0.685359,-0.173885,0.727145,-0.691014,0.935262,-0.818129,-0.745021,-0.0048184,-0.73781,0.898017,0.500266,-0.578465,-0.591995,0.384841,0.451438,0.941197,0.918725,0.717831,0.900168,0.68499,-0.111496,-0.760266,0.686118,-0.0619394,-0.917463,0.748689,-0.0732686,-0.567876,0.663071,-0.39225,-0.791302,-0.550156,-0.38586,-0.994165,-0.481634,0.40225,0.0496758,0.805324,0.494491,-0.835874,0.36655,0.259959,-0.140612,0.86399,0.207312;-3.46768,0.99364,11.3913,16.1305
21;0.112674,0.750476,0.207353,0.927924,0.395058,-0.547306,-0.344399,0.867555,-0.319152,0.91859,-0.86585,-0.527738,-0.681263,-0.556256,0.944698,0.554156,-0.531101,-0.831142,0.112255,0.621207,0.959824,0.915964,0.279927,0.955003,0.51946,-0.613102,-0.645996,0.874123,0.078361,-0.864198,0.651801,0.116789,-0.564038,0.785354,-0.603164,-0.922338,-0.114587,-0.701413,-0.994082,-0.428636,-0.143091,0.418076,0.259765,0.628025,-0.746437,0.440051,0.251621,-0.335471,0.881872,-0.128588;-5.94317,-2.12684,9.1513,12.0061
22;0.320118,0.389418,0.550713,0.923833,-0.137058,-0.222384,-0.758736,0.832366,0.0472426,0.820743,-0.867953,-0.321351,-0.294448,-0.383193,0.984333,0.834966,-0.711595,-0.927449,0.0473044,0.771188,0.81635,0.972616,0.04359,0.958329,0.192543,-0.734442,-0.645157,0.937551,-0.100076,-0.83651,0.831058,-0.457157,-0.525956,0.739422,-0.506199,-0.963128,-0.531378,-0.315068,-0.999211,-0.588618,-0.425238,0.679793,0.714868,0.748615,-0.505626,0.824964,0.318592,-0.0978881,0.967821,0.319391;-1.56341,-7.02861,10.2567,7.69006
23;0.175676,0.715688,0.27177,0.605547,-0.0269809,-0.437504,-0.425815,0.720783,-0.208745,0.964773,-0.699487,-0.712286,0.589931,-0.673088,0.91448,0.062957,-0.367537,-0.212521,-0.0245854,0.526435,0.927142,0.798458,0.674931,0.984874,0.951302,-0.0271972,-0.805174,0.717087,-0.0739658,-0.878466,0.921874,0.412755,-0.619362,0.70495,0.119907,-0.453242,-0.696674,-0.163544,-0.992018,-0.323297,0.458223,0.0544027,0.662027,0.404192,-0.881739,0.54833,-0.108612,-0.428681,0.883788,0.0827368;0.21721,-4.40577,13.9087,15.5686
24;-0.18109,0.424761,-0.356857,0.86113,-0.0511948,-0.2426,-0.00500441,0.777018,-0.448214,0.823179,-0.701711,-0.821954,0.112685,-0.543963,0.886887,0.275013,-0.565759,-0.44161,-0.389994,0.0560272,0.944479,0.898901,0.491994,0.958726,0.667919,-0.500841,-0.742734,0.840105,0.147082,-0.682192,0.575568,-0.0198465,-0.435971,0.787293,-0.372779,-0.780466,-0.356737,-0.771066,-0.990796,-0.506507,-0.165399,0.00874368,-0.124609,0.807215,-0.774223,0.483302,-0.095583,-0.603331,0.837505,-0.576123;-5.72096,0.540772,12.2463,14.1203
25;-0.0183965,0.0798216,-0.00174097,0.84819,-0.325683,0.0659344,-0.541413,0.745714,-0.138894,0.503358,-0.729195,-0.0790436,0.431304,-0.457209,0.965335,0.721797,-0.890567,-0.693716,-0.491246,0.535408,0.787756,0.968464,0.265943,0.938522,0.62238,-0.668571,-0.660217,0.900097,-0.165866,-0.578979,0.84155,-0.667605,-0.747527,0.651355,-0.332389,-0.909859,-0.670713,-0.273652,-0.99183,-0.605758,-0.5084,0.663639,0.100832,0.889041,-0.397423,0.885763,-0.00637168,-0.373754,0.980565,-0.228513;-1.86716,-6.57639,8.13124,6.34255
26;0.244781,0.721151,0.307003,0.71538,0.265031,-0.621999,-0.509502,0.114445,-0.294622,0.179825,-0.562947,-0.708831,0.388162,-0.550832,0.811123,0.0807495,0.255804,-0.257695,0.0770833,0.541703,0.875622,0.876742,0.518995,0.94576,0.87286,0.126787,-0.813732,0.491824,-0.366914,-0.215872,0.744418,-0.0422791,-0.213432,0.57531,-0.425423,0.107485,-0.673238,0.0995561,-0.923954,-0.330643,-0.416658,0.00925194,0.239807,0.0182321,-0.835365,0.499134,0.145212,-0.0499987,0.623055,0.444173;-7.35538,-10.0673,10.7208,11.0994
27;0.210395,0.601406,0.232416,0.874949,0.501354,-0.666692,0.0549417,-0.0576191,-0.60793,0.656355,-0.427078,-0.822871,0.0513516,-0.147525,0.532273,0.326417,0.283915,-0.165016,-0.175607,0.774954,0.88967,0.775971,0.4652,0.72872,0.804099,0.155789,-0.697492,0.139236,-0.1171,-0.341937,0.507066,-0.226211,-0.030487,0.579694,-0.0820863,0.161797,-0.44564,0.114024,-0.960324,-0.283393,-0.4773,-0.334913,-0.466476,0.26972,-0.65098,0.525532,0.207352,-0.406287,0.477085,0.363078;-7.96641,-6.92979,10.8119,10.2388
28;0.588159,0.790711,0.723101,0.889212,0.685687,-0.78146,-0.0384293,0.153298,-0.703066,0.431655,-0.640205,-0.705913,-0.159376,-0.564576,0.77873,0.649232,-0.00354653,-0.62114,0.393378,0.705127,0.852373,0.785154,0.478883,0.624661,0.639339,0.0648487,-0.662997,0.426954,-0.2073,-0.638434,0.420375,-0.670058,-0.414089,0.401862,-0.53652,-0.441998,-0.429705,-0.289129,-0.967492,-0.234871,-0.473856,0.0988343,0.14279,-0.11488,-0.513452,0.185077,0.293216,-0.0428649,0.383315,0.591011;-9.65857,-3.04549,7.09674,12.5424
29;-0.0740285,0.899555,0.400434,0.889021,0.320632,-0.455461,-0.437352,0.627921,-0.261655,0.832785,-0.694351,-0.132473,-0.582906,-0.657673,0.721283,-0.0413045,-0.186922,-0.680971,0.361196,0.733087,0.96732,0.834474,0.628644,0.522262,0.811604,0.199158,-0.886042,0.157156,0.29903,-0.856234,0.75189,0.280688,-0.603062,0.24333,-0.535818,-0.421453,-0.209787,-0.348721,-0.985586,-0.167396,0.151461,-0.292812,0.524734,0.503235,-0.581439,0.546665,0.653387,-0.363433,0.82363,0.458226;-5.47341,-5.38879,11.4079,12.0569
