Passo;Reservat rio (Ativa  es);Sa da (Ativa  es)
20;-0.884333,-0.386028,0.00932561,-0.0936807,-0.048286,-0.463487,-0.582263,0.146809,0.412386,-0.912686,-0.232881,0.796092,-0.305179,-0.88954,0.811639,0.755594,-0.291225,0.299587,0.175422,-0.278859,-0.743089,-0.490277,-0.173839,0.540831,-0.0136781,0.0293622,0.867348,-0.735158,0.0438,-0.922643,-0.679221,0.262336,-0.175097,0.299194,-0.241631,-0.350909,0.379298,-0.60489,-0.40299,0.930719,0.794368,-0.0879168,-0.486244,0.817832,0.739658,-0.0732761,-0.690682,0.207974,-0.0818989,-0.910256;-5.05203,-0.172235,-2.39119,5.63202
21;-0.822276,-0.24794,0.200088,0.0260324,-0.303679,-0.0756453,-0.501224,0.110802,0.62903,-0.85925,-0.381155,0.49309,-0.186693,-0.847225,0.319555,0.345942,-0.590939,0.183205,0.244281,0.131278,-0.840051,0.0357004,0.119277,0.634289,-0.356508,0.254832,0.826182,-0.792374,0.148108,-0.775856,-0.508553,0.198948,-0.418647,0.248627,-0.163739,-0.588976,0.447701,-0.152834,-0.435186,0.892589,0.779202,-0.310543,-0.451857,0.399634,0.599621,0.0506107,-0.391833,0.584069,-0.315891,-0.950666;-6.98281,1.80439,-3.23109,1.73353
22;-0.500434,-0.806819,-0.0860421,0.202898,0.114122,-0.212625,-0.818631,-0.167036,0.309614,-0.778391,-0.142981,0.756589,-0.45569,-0.621482,-0.148425,0.554336,-0.706124,0.0263945,0.365072,-0.0602356,-0.934851,0.53503,0.446278,0.891794,0.157775,-0.2833,0.694026,-0.886471,-0.271304,-0.592314,-0.769274,0.617578,-0.424479,0.486297,0.00318195,-0.62363,0.554527,0.191853,-0.542633,0.742619,0.877689,-0.752349,-0.672285,0.797157,0.741787,0.511416,0.244686,0.33081,0.251559,-0.873397;-10.1039,0.425942,-0.793516,2.03485
23;-0.18614,-0.74515,0.427662,-0.273911,0.906813,0.113456,-0.869122,-0.439367,0.403779,-0.622014,-0.70223,0.972834,-0.157845,-0.768046,0.16645,0.905216,-0.76876,0.233863,0.24062,-0.534865,-0.785366,0.416953,0.44668,0.960678,0.10764,-0.760755,0.170109,-0.947776,-0.569533,-0.828984,-0.889591,0.637187,-0.59971,0.507024,-0.068399,-0.43304,0.598778,0.124378,-0.336484,0.482748,0.883081,-0.943872,-0.526915,0.927743,0.634419,0.424219,0.520189,-0.0427741,0.127533,-0.882349;-3.46685,2.6594,-2.36718,0.630005
24;-0.626373,-0.716649,0.612956,0.166753,0.629124,-0.370603,-0.92999,-0.320443,0.688146,-0.710886,-0.351267,0.978149,-0.43494,-0.904387,0.926662,0.908554,-0.946271,-0.609928,0.0866533,-0.922926,-0.944212,-0.0736037,-0.100915,0.853968,0.895723,0.236488,0.766582,-0.790023,-0.371575,-0.90715,-0.961358,0.15307,0.439634,0.416555,-0.413339,-0.907444,0.770949,-0.761144,0.327046,0.584274,0.772815,-0.948738,-0.88883,0.831159,0.852992,-0.253078,-0.257347,0.569008,0.194401,-0.909231;-2.91668,2.86914,1.52374,4.48086
25;-0.940801,-0.669899,-0.0888878,0.0779701,0.3569,-0.495783,-0.929898,-0.359599,0.533353,-0.856664,-0.133304,0.864839,-0.277517,-0.827961,0.949049,0.945246,-0.945023,-0.389885,-0.40357,-0.792471,-0.944472,0.718789,0.727661,0.918015,0.829958,-0.0094183,0.773682,-0.80981,-0.39296,-0.839708,-0.952761,0.287484,-0.110503,0.382572,-0.153764,-0.736082,0.693226,-0.544975,0.112907,0.775649,0.904846,-0.839599,-0.761823,0.703044,0.613996,-0.468299,-0.0340457,0.780297,0.187128,-0.925334;-4.44996,6.822,-2.53423,6.02978
26;-0.582838,0.192932,0.275729,0.174258,0.868882,-0.113508,-0.882589,-0.554762,0.455753,-0.897396,-0.199592,0.880342,-0.0659987,-0.924902,0.773504,0.899525,-0.522426,0.559234,0.577546,-0.861682,-0.778381,-0.00658561,0.848399,0.933693,0.129785,0.0994221,0.497937,-0.955452,-0.152364,-0.8324,-0.647092,0.199786,-0.332297,0.83494,-0.714607,-0.217814,0.642515,-0.564909,0.115824,0.00575887,0.911259,-0.832846,-0.758501,0.941374,0.037431,0.195963,-0.378364,0.748357,0.32742,-0.94485;-0.713505,1.17419,1.43899,3.03568
27;-0.673295,-0.0610794,0.199044,0.0308629,0.0771625,-0.621886,-0.908809,0.17221,0.910842,-0.95218,-0.304935,0.845802,-0.843204,-0.905876,0.933808,0.866782,-0.844094,0.109696,0.508252,-0.904336,-0.91248,0.302916,0.585033,0.808885,0.746212,0.283709,0.49448,-0.910346,-0.32228,-0.952778,-0.887139,-0.399447,0.189269,0.628815,-0.584712,-0.457773,0.719676,-0.824562,0.504295,0.343107,0.745196,-0.829329,-0.822618,0.867781,0.440374,-0.265483,-0.485686,0.600423,0.329816,-0.904677;-2.14453,3.81535,5.3721,5.24457
28;-0.835597,-0.728401,0.250337,-0.537289,-0.263226,-0.731502,-0.858894,0.00829523,0.785401,-0.842321,-0.788494,0.975153,-0.51939,-0.621122,0.820759,0.892569,-0.937271,0.193529,-0.494642,-0.292403,-0.925826,0.92218,0.169453,0.894167,0.359509,-0.73277,-0.60732,-0.92611,-0.838383,-0.815084,-0.955426,0.287237,-0.453522,0.0816544,0.584912,-0.141212,0.378217,0.279944,-0.312365,0.879909,0.741098,-0.844826,0.0554422,0.779162,0.300289,-0.474059,0.739792,0.0438442,0.400542,-0.891769;-4.18928,6.29283,-0.898066,7.30774
29;-0.109798,-0.84785,0.696135,-0.608882,0.618357,-0.836482,-0.870372,-0.462932,0.724989,-0.107194,-0.918837,0.997504,0.22267,-0.81111,0.597909,0.84464,-0.818095,-0.218402,0.230632,-0.012032,-0.916104,0.493778,-0.613711,0.865499,0.43871,-0.639573,-0.34948,-0.930117,-0.831251,-0.576342,-0.965502,0.267919,-0.467411,0.322706,0.405885,-0.683068,-0.0997382,0.500084,-0.234036,0.764057,0.16057,-0.931942,-0.51232,0.743948,0.311251,-0.121737,0.648623,-0.1569,-0.0920114,-0.826445;-5.71103,1.03187,3.27337,-7.11071
