Passo;Reservat rio (Ativa  es);Sa da (Ativa  es)
36;0.591065,0.684305,0.769724,-0.953631,0.860524,-0.340499,-0.0827427,0.701534,-0.637729,-0.991226,-0.0323317,0.974846,-0.667273,0.928914,0.473335,0.340136,-0.506398,0.90751,0.874272,-0.673473;0.0428516,2.60905,-10.3115,2.30512
37;0.671432,0.622692,0.505719,-0.841924,0.425368,-0.126709,-0.301616,0.452746,-0.493504,-0.900147,-0.0704271,0.935636,-0.609671,0.709637,0.75555,0.325376,-0.785477,0.901799,0.911859,-0.448674;0.478423,1.87202,-9.5273,1.90372
38;0.64044,0.749645,0.740609,-0.910525,0.754037,0.257686,-0.468879,0.394066,-0.725047,-0.959303,-0.609597,0.970305,-0.650243,0.847774,0.610972,0.506951,-0.815521,0.934043,0.974566,-0.831492;2.21486,2.27708,-9.94496,3.22206
39;0.589521,0.712049,0.807519,-0.962452,0.808289,-0.208745,-0.30025,0.567868,-0.556783,-0.992859,-0.267054,0.97693,-0.354987,0.944976,0.580333,0.358407,-0.646639,0.942764,0.971458,-0.769542;0.447029,2.29779,-9.0383,2.44606
40;0.590157,0.571831,0.810012,-0.95371,0.776219,-0.251908,-0.284989,0.616309,-0.558621,-0.991565,-0.179007,0.978101,-0.361779,0.887799,0.578247,0.342088,-0.606456,0.954109,0.96068,-0.753422;0.244877,2.24912,-8.91765,2.22167
41;0.671695,0.446198,0.533813,-0.835038,0.46895,-0.127509,-0.352632,0.387403,-0.435409,-0.9195,-0.179788,0.931868,-0.429348,0.752796,0.790615,0.325208,-0.791795,0.906326,0.925931,-0.509516;0.371128,1.64818,-9.11012,1.89153
42;0.616869,0.397915,0.602697,-0.907952,0.520714,-0.464424,-0.348781,-0.0171018,-0.254403,-0.96618,0.298261,0.935583,0.175278,0.621524,0.729236,0.222841,-0.631146,0.752535,0.938038,-0.536882;-1.40416,1.15935,-4.56964,0.797349
43;0.240875,-0.384773,-0.0844828,-0.450385,0.455505,-0.141648,-0.1117,-0.0102183,-0.131029,-0.764747,-0.257562,0.739428,-0.344306,0.556105,0.843876,-0.153254,-0.844449,0.653485,0.846998,-0.869174;0.0770334,0.664283,-8.54521,2.71677
44;0.213505,0.018608,-0.165001,-0.41072,0.088676,-0.445647,-0.172864,0.0997069,-0.206861,-0.880302,-0.132339,0.535126,0.616621,-0.100985,0.815254,-0.0427787,-0.854857,0.0273447,0.899454,-0.905856;0.443873,0.278965,-0.0101335,1.22569
45;0.184638,-0.644611,-0.594028,-0.421964,0.31552,-0.46507,-0.157699,-0.230549,-0.16341,-0.912625,-0.165226,0.116035,0.238987,-0.259013,0.832277,-0.106459,-0.856948,-0.0359971,0.898623,-0.900117;0.00126998,0.0121401,-1.53195,1.37985
46;0.124467,-0.428184,-0.626846,-0.398399,0.287265,-0.485081,-0.166728,-0.00677824,-0.164103,-0.897284,-0.157103,-0.017207,0.692809,-0.608572,0.832019,-0.124138,-0.856191,-0.525105,0.89806,-0.91506;0.0655487,-0.0293253,2.82183,0.677095
47;0.359099,0.225457,-0.547452,-0.892305,0.840716,-0.187263,-0.496633,0.0135116,-0.454701,-0.998167,0.0894751,0.799466,0.758046,-0.139969,0.588355,0.702285,-0.238676,-0.176505,0.950674,-0.942288;0.0180835,1.14322,2.70316,0.669959
48;0.45806,0.581658,-0.280788,-0.80748,0.44104,0.719946,-0.438096,0.327522,0.0586553,-0.977972,-0.217996,0.771973,-0.496726,0.617965,0.850431,-0.150008,0.110231,-0.0731189,0.500597,-0.932467;0.164579,-0.126341,-6.90356,1.31199
49;0.782844,0.972509,0.300875,-0.89839,0.488238,0.775689,-0.740312,0.0809888,-0.592555,-0.9929,-0.141748,0.975443,-0.139163,0.601251,0.550189,0.350532,0.302544,0.567665,0.549675,-0.827464;1.53026,0.706712,-4.37087,1.31724
50;0.589255,0.745544,0.693833,-0.890667,0.47908,0.665486,-0.322526,0.233037,-0.453012,-0.948819,-0.502616,0.918506,-0.857969,0.896346,0.642871,-0.54454,-0.401648,0.839752,0.34332,-0.814171;1.59494,0.201659,-12.3678,2.9733
51;0.58376,0.913749,0.793244,-0.879808,0.154451,0.557547,-0.367001,0.30705,-0.582024,-0.947742,-0.312263,0.925716,-0.643596,0.726678,0.503921,-0.527121,-0.461134,0.933792,0.772242,-0.839294;1.71208,0.518718,-9.46643,2.91861
52;0.842891,0.949018,0.931739,-0.962099,0.642058,0.580133,-0.57018,0.17541,-0.572834,-0.983326,-0.292097,0.968274,-0.791838,0.709194,0.666067,-0.0793821,-0.276497,0.974042,0.903713,-0.511665;1.52868,1.32376,-9.77021,2.61442
53;0.793776,0.982932,0.826088,-0.947451,0.655045,0.880731,-0.691454,0.0951667,-0.323683,-0.980465,-0.212077,0.988373,-0.75506,0.938049,0.772285,0.347926,0.151822,0.959729,0.757205,-0.758058;1.4199,1.24011,-8.96838,2.06265
