Passo;Reservat rio (Ativa  es);Sa da (Ativa  es)
35;-0.223919,0.977224,-0.0759784,-0.694155,0.172888,-0.842007,0.874562,0.67194,-0.27361,-0.85832,-0.929944,-0.121912,-0.971725,-0.615257,-0.995953,-0.99935,0.434123,-0.82959,0.194312,-0.0654409;-2.28974,0.831418,2.62165,2.99203
36;-0.677824,0.872198,0.350275,-0.680016,0.574536,-0.824961,0.159126,0.930885,-0.528801,0.716578,-0.180147,-0.542664,-0.966484,-0.840828,-0.992231,-0.992422,-0.073947,-0.368599,-0.153177,-0.582293;1.20178,-0.311841,-0.445494,1.679
37;-0.61822,0.946366,-0.568353,-0.609337,0.314176,-0.372285,0.49513,0.886896,-0.14997,0.304571,0.00159794,-0.871528,-0.965157,-0.890988,-0.779335,-0.999782,0.921386,-0.850035,-0.573799,-0.78211;-0.461499,-1.90322,0.991375,1.04964
38;-0.675005,0.873872,-0.861356,-0.178152,0.867602,-0.763503,0.545135,0.945139,0.555139,-0.496873,-0.145614,-0.950843,-0.86994,-0.7726,-0.986241,-0.999838,0.824234,-0.824155,-0.322002,-0.834731;-1.39517,-1.96221,0.801791,0.952816
39;-0.675005,0.941392,-0.829362,-0.178152,0.830806,-0.77607,0.622861,0.945112,-0.0496367,-0.688727,-0.858387,-0.926475,-0.959817,-0.7726,-0.978256,-0.999925,0.642644,-0.812264,-0.3103,-0.772966;-2.40227,-1.23646,1.88737,1.25824
40;-0.686667,0.972865,-0.643497,0.214342,0.805663,-0.667286,0.00348127,0.934306,-0.236114,0.774883,-0.899222,-0.967887,-0.990315,-0.429575,-0.907458,-0.99997,0.563419,-0.858434,0.63072,-0.669378;-3.50696,-3.0662,2.62606,3.30748
41;-0.686667,0.997136,-0.624846,0.214342,0.31799,0.0719811,0.0651212,0.940637,-0.034584,0.843061,-0.749188,-0.702474,-0.986493,-0.429575,-0.484634,-0.999993,0.857766,-0.486127,0.632887,-0.291304;-4.65287,-0.515482,2.41491,1.99346
42;0.0060349,0.985517,0.474904,-0.13617,-0.353329,0.669714,0.763273,0.81805,0.93142,0.814432,-0.0656275,-0.767381,-0.909624,-0.282943,-0.233536,-0.997714,0.757264,-0.802772,0.410012,-0.789502;-3.89591,-1.16153,0.219772,3.42793
43;0.0060349,0.980111,-0.00593211,-0.13617,-0.680563,-0.0769077,0.800774,0.663186,0.986715,-0.537654,-0.730235,-0.0755285,-0.607996,-0.282943,-0.973261,-0.986229,0.887652,-0.867774,0.358581,-0.692248;-3.31436,-0.995938,0.713734,3.88281
44;-0.530804,0.871806,0.313783,-0.109789,-0.680972,-0.119593,-0.260655,0.894533,0.85541,0.463298,-0.90941,-0.365333,-0.961453,-0.662656,-0.972779,-0.982607,0.652076,-0.699315,0.0111942,-0.72802;-0.674432,-1.74774,-2.0107,2.32374
45;-0.597103,0.913377,-0.0852921,0.0226921,-0.436902,0.709404,-0.317255,0.906951,0.656864,0.782957,-0.968159,-0.904155,-0.985078,-0.386644,0.102691,-0.998878,0.915472,-0.890809,0.455595,-0.758236;-4.66228,-2.43676,-0.744577,1.30646
46;-0.656363,0.983284,-0.504426,0.500887,-0.268007,0.697177,0.0529358,0.962126,0.967331,0.753677,-0.634927,-0.808415,-0.210264,-0.00789406,-0.063765,-0.995914,0.94328,-0.354239,0.681692,-0.578512;-5.93352,-0.355923,-0.298797,1.69745
47;-0.656363,0.986804,-0.669508,0.500887,-0.217033,0.408119,-0.0894915,0.954375,0.972918,0.246228,-0.916246,-0.740257,-0.540355,-0.00789406,0.0398994,-0.996339,0.91528,-0.166438,0.66562,-0.0972144;-6.14,1.50858,-0.242733,1.1733
48;-0.628337,0.996855,-0.820329,0.32658,0.391231,0.132279,-0.476905,0.963218,0.970785,0.613386,-0.961844,-0.212628,-0.371703,-0.579749,-0.301767,-0.996627,0.910875,0.00242324,0.305127,0.269907;-4.94268,3.69122,-0.39957,-0.478155
49;-0.675005,0.885051,-0.509755,-0.178152,0.844979,0.291532,-0.354669,0.980697,0.891179,0.0726949,-0.949446,-0.639165,-0.47488,-0.7726,0.227249,-0.986862,0.573,0.380179,-0.243782,-0.629833;-4.76091,4.88405,-3.02337,-3.26049
