Passo;Reservat rio (Ativa  es);Sa da (Ativa  es)
55;0.216956,-0.830718,0.110675,-0.570697,0.667575,0.109166,0.635885,-0.70094,-0.843571,-0.576269,0.553384,-0.143182;0.553189,-1.27,-1.11251,5.22428
56;0.216814,-0.830712,0.0984871,-0.570697,0.666172,0.113348,0.63588,-0.69882,-0.846716,-0.575023,0.557371,-0.143185;0.542474,-1.24767,-1.12401,5.24074
57;0.216779,-0.830711,0.0951071,-0.570697,0.665517,0.116636,0.635877,-0.700089,-0.847611,-0.575883,0.558474,-0.143188;0.533492,-1.23552,-1.13098,5.24682
58;0.216763,-0.830711,0.0924476,-0.570697,0.66597,0.115414,0.635876,-0.700446,-0.848391,-0.576121,0.55934,-0.143188;0.529752,-1.23342,-1.13348,5.25398
59;0.216774,-0.830711,0.0934354,-0.570697,0.666095,0.115188,0.635876,-0.70075,-0.848139,-0.576307,0.559018,-0.143188;0.530238,-1.23479,-1.13279,5.25279
60;0.216777,-0.830711,0.0936179,-0.570697,0.666194,0.11477,0.635876,-0.700648,-0.848099,-0.576238,0.558959,-0.143188;0.530919,-1.23591,-1.13225,5.25264
61;-0.329107,-0.807643,0.00516769,-0.296279,0.733631,0.185545,0.812022,-0.756475,-0.670331,-0.0867865,0.109166,0.346966;1.22857,-3.01766,-0.247849,5.71776
62;0.114107,-0.955001,0.610089,-0.509748,0.0307832,-0.299155,0.695453,-0.73965,-0.461107,0.182418,0.29543,0.699306;2.31103,-7.26801,0.468353,4.36364
63;0.551736,-0.960089,0.917887,-0.585335,-0.0925834,-0.690206,0.603328,0.259322,0.0439762,0.60046,0.470994,0.881847;4.28001,-6.74245,3.19235,1.18436
64;-0.346624,-0.906585,0.941809,-0.296279,-0.24036,0.858341,0.853287,0.0300992,0.4201,-0.0585699,-0.19614,0.386842;-0.232236,-4.12198,3.82807,-0.197376
65;0.355717,-0.266645,-0.367759,0.202444,-0.113755,0.391245,0.83371,-0.0750463,-0.566461,0.0751431,0.597442,-0.0555479;0.629498,-1.87514,0.612838,3.389
66;0.358595,-0.105487,-0.443519,0.202444,0.092808,0.432125,0.48656,-0.0608189,-0.262694,-0.178704,0.470144,-0.169659;0.508572,1.99202,0.316872,3.26095
67;0.363278,-0.0626281,-0.559117,0.202444,0.394851,0.423159,0.347993,0.166047,-0.412701,-0.138691,0.482251,-0.229374;1.66764,3.82359,-0.430893,3.50934
68;0.370091,-0.040097,-0.596622,0.202444,0.381668,0.615944,0.308039,0.0611742,-0.551518,-0.142518,0.479611,-0.244988;1.92586,4.18279,-1.30075,3.90779
69;0.393992,-0.5375,-0.35224,-0.209149,0.206688,0.672373,0.364965,-0.176288,-0.827308,-0.538189,0.653275,-0.608134;0.649864,1.89921,-1.87976,3.67024
70;-0.149026,-0.373972,-0.711448,0.130097,0.428083,0.570554,0.857555,-0.443678,-0.595618,-0.0875963,0.273876,-0.115637;0.0276059,-0.172038,0.128794,5.14449
71;-0.334629,-0.811237,-0.324781,-0.296279,0.612054,0.40146,0.575506,-0.830369,-0.801709,0.00493314,0.276764,0.35418;1.80929,-2.05016,-1.33806,6.32926
72;0.179387,-0.84442,0.377681,-0.391514,0.54029,-0.553997,0.663224,-0.740126,-0.890806,0.517891,0.545462,0.737117;4.86239,-6.72714,-0.281121,5.77885
73;0.177576,-0.881232,0.919271,-0.391514,0.101194,-0.430782,0.6822,-0.438671,-0.424976,0.451673,0.241103,0.731463;4.11696,-7.78193,1.09457,3.29818
