Passo;Reservat rio (Ativa  es);Sa da (Ativa  es)
44;-0.916484,-0.424686,0.764579,-0.513808,-0.335907,0.250686,-0.745433,-0.831255,0.667461,0.212506,-0.515286,-0.836594;-4.14547,-0.718532,-5.5592,0.31333
45;-0.384289,-0.506461,0.793777,-0.352428,0.813675,0.23021,-0.648066,-0.872424,0.738209,0.432458,-0.220701,-0.737716;-7.2107,-0.549894,-4.11491,-0.0159163
46;-0.439744,-0.506461,0.844848,-0.352428,0.701602,0.570004,-0.581935,-0.702126,0.781875,0.432458,-0.213308,-0.729209;-6.43391,-0.190723,-3.40699,-0.413884
47;-0.807376,-0.0644524,0.669834,-0.0799104,0.876152,0.0960012,-0.351939,-0.907644,0.569771,0.460738,-0.431522,-0.84917;-9.20434,-0.0655807,-6.93847,-0.777173
48;-0.199162,-0.270184,0.726552,-0.505792,0.94218,0.112117,-0.112431,-0.85936,0.109788,0.535598,-0.11693,-0.154172;-7.49378,-1.07674,-1.94475,-0.221641
49;-0.186837,-0.270184,0.498186,-0.505792,0.816951,0.531084,-0.374939,-0.636259,0.35485,0.535598,-0.125896,-0.175181;-5.33866,-0.8258,-0.330347,-0.378272
50;-0.916713,-0.424686,0.764663,-0.513808,-0.335469,0.252007,-0.745433,-0.831609,0.667461,0.212506,-0.515135,-0.836447;-4.14726,-0.717889,-5.55664,0.312134
51;-0.71474,-0.142986,0.729682,-0.736274,0.596687,0.345745,-0.532573,-0.871845,0.884104,0.57067,-0.348655,-0.685715;-6.35335,-0.0821273,-4.19475,-0.708351
52;-0.864379,-0.424686,0.918123,-0.513808,0.326996,0.31076,-0.805754,-0.930377,0.56825,0.212506,-0.481777,-0.801881;-6.88067,-1.0749,-6.36935,0.230433
53;-0.870942,-0.0393885,0.707191,-0.815076,0.726063,0.507782,-0.658218,-0.945885,0.895632,0.38114,-0.574256,-0.749675;-7.6679,-0.53147,-5.18648,-0.649536
54;-0.775165,-0.490476,0.949066,-0.44929,0.773189,0.0213997,-0.743651,-0.853038,0.516489,0.506014,-0.642654,-0.488457;-8.62409,-1.98364,-7.64961,-0.0918558
55;-0.25293,-0.424686,0.80258,-0.513808,0.644451,0.270882,-0.728387,-0.937226,0.795176,0.212506,-0.484494,-0.804863;-7.63571,-1.09501,-4.2093,0.541188
56;-0.424772,-0.506461,0.859997,-0.352428,0.817242,0.318023,-0.648066,-0.638161,0.738209,0.432458,-0.201621,-0.715349;-6.55347,-0.453073,-4.21821,-0.221527
57;-0.542766,-0.506461,0.847892,-0.352428,0.728408,0.646772,-0.581935,-0.719863,0.781875,0.432458,-0.255029,-0.774634;-6.86127,-0.161706,-3.74652,-0.539513
58;-0.833852,-0.0644524,0.657644,-0.0799104,0.888074,0.0484027,-0.351939,-0.922461,0.569771,0.460738,-0.428798,-0.846943;-9.23928,-0.0854355,-7.08623,-0.783003
59;-0.135679,-0.270184,0.727056,-0.505792,0.940228,0.0976125,-0.112431,-0.865373,0.109788,0.535598,-0.114175,-0.147696;-7.48606,-1.10489,-1.77119,-0.141233
60;-0.168764,-0.270184,0.500518,-0.505792,0.814765,0.534097,-0.374939,-0.601568,0.35485,0.535598,-0.12478,-0.172573;-5.23052,-0.825397,-0.270754,-0.371755
61;-0.917502,-0.424686,0.765182,-0.513808,-0.335537,0.256553,-0.745433,-0.826603,0.667461,0.212506,-0.519922,-0.841047;-4.16579,-0.71863,-5.57039,0.311508
