Passo;Reservat rio (Ativa  es);Sa da (Ativa  es)
20;-0.707503,0.360103,-0.112256,0.0907934,-0.00199408,0.238768,-0.365663,0.148128,0.306798,-0.279819,0.159275,-0.0642766,0.00866116,-0.965602,-0.207937,-0.928184,0.822587,-0.701008,0.0375882,-0.211241,0.48988,-0.671457,0.776456,0.568697,0.677453,0.532524,-0.35139,-0.119472,-0.979563,0.597066,0.344602,-0.876915,0.173739,-0.0993724,-0.360988,0.877093,-0.516315,-0.546238,0.520884,0.102982,-0.665506,0.205807,0.118432,-0.130029,0.224422,0.809076,0.0817181,-0.36826,0.399289,-0.719114;-5.38849,-6.26354,0.832855,3.68079
21;-0.890537,-0.646808,0.251669,0.238547,0.0996667,-0.237532,-0.14431,0.182383,0.251617,0.795081,0.786957,-0.462536,0.674722,-0.692179,0.169389,-0.782375,0.628267,0.00495877,-0.426074,-0.452451,0.482629,-0.446901,0.591153,-0.236836,0.28591,0.0245485,-0.826573,0.269315,-0.888114,0.0114165,0.639299,-0.861318,-0.516872,-0.70714,0.764117,0.70975,-0.112705,-0.0682657,0.737589,-0.378671,-0.664379,-0.140473,0.500681,-0.379331,-0.124124,0.742091,0.699147,-0.776859,0.551734,-0.919057;0.302796,-8.32885,1.7725,2.71044
22;-0.739045,-0.448279,0.0897304,0.355623,0.0843487,-0.462476,-0.187533,-0.092202,0.511883,0.898597,0.859024,-0.824868,0.0394891,-0.925555,0.0678399,-0.618175,0.876363,0.48728,-0.293771,-0.792559,0.433945,-0.413898,0.282186,0.0997026,-0.349333,0.127053,-0.553571,0.151433,-0.959789,-0.647485,0.565971,-0.733865,-0.561953,-0.828816,0.772031,0.490577,0.0302332,0.259066,0.220091,-0.254015,-0.878933,-0.80279,-0.612221,-0.294631,-0.000785652,0.264586,0.718296,-0.759847,0.763127,-0.892511;1.97136,-8.76958,0.0996864,0.874963
23;-0.748792,-0.719293,0.55817,0.0377152,0.00692364,-0.393349,-0.529406,-0.321813,-0.645586,0.920596,0.965435,-0.971313,0.938002,-0.975766,0.385784,-0.611437,0.961461,0.483771,0.094711,-0.580816,0.130538,-0.62182,0.320229,0.0070674,-0.317574,-0.724972,-0.664785,-0.123631,-0.893122,-0.243717,0.433376,-0.88108,-0.705552,-0.27506,0.836077,0.66117,0.150996,0.553193,0.178191,-0.414469,-0.883586,-0.609996,-0.751433,0.0535746,0.649156,0.654392,0.461766,-0.709609,0.740631,-0.96621;1.55067,-13.4705,2.89088,1.33989
24;-0.141807,-0.50905,0.432431,0.182191,0.287608,-0.442898,-0.463207,-0.337578,-0.557071,0.738949,0.938461,-0.857482,0.82716,-0.993181,-0.142516,-0.781532,0.987568,-0.242754,0.617967,-0.131111,-0.333361,-0.724905,0.268499,0.400782,-0.48083,-0.399525,-0.157849,0.57975,-0.954324,-0.00851895,0.692051,-0.655353,-0.323318,0.00334374,0.137286,0.710449,0.484195,0.776918,0.362759,0.309837,-0.779553,-0.869972,-0.962539,0.561204,0.686836,0.790264,0.0990782,0.112105,0.803678,-0.908047;0.370519,-12.3205,0.58093,2.48707
25;-0.73813,-0.450954,0.672941,0.307218,0.411131,-0.112837,0.0864864,-0.786697,-0.549833,0.744779,0.869398,-0.950023,0.896796,-0.983129,0.12631,-0.120088,0.932719,-0.652799,0.62722,-0.234313,-0.191224,-0.391775,0.5193,0.0859853,-0.39563,-0.775478,-0.477648,0.649083,-0.944622,0.263044,0.732499,-0.844365,-0.832757,-0.599079,0.320746,0.683434,0.317634,0.189304,0.573344,0.076457,-0.607985,0.00287839,-0.894949,0.166393,0.282529,0.889208,-0.00180064,0.0636832,0.871823,-0.981315;-1.33709,-13.4219,-1.95493,4.07926
26;-0.667366,-0.53266,0.564185,0.573741,0.402454,-0.215001,-0.199791,-0.526245,-0.656939,0.8869,0.89388,-0.955976,0.949226,-0.994734,0.0471848,-0.373063,0.97751,-0.376113,0.414209,-0.502211,0.0274484,-0.475765,0.437701,0.303961,-0.739873,-0.768682,-0.4438,0.599314,-0.969686,-0.0737896,0.65366,-0.785078,-0.809181,-0.755021,0.447532,0.658232,0.717439,0.0380396,0.368791,0.540487,-0.796449,0.258295,-0.819832,0.418784,0.24743,0.622532,0.0972444,0.184703,0.806882,-0.98524;1.10024,-12.8101,-1.28988,0.323771
27;-0.530692,-0.462433,0.686551,0.235176,-0.147098,-0.184971,-0.366428,-0.459546,-0.439515,0.498121,0.427179,-0.840384,0.942292,-0.992177,0.222313,-0.538604,0.983975,-0.629509,0.661387,0.213106,-0.323843,-0.351271,-0.0538264,0.444421,-0.483608,-0.707904,0.273928,0.6409,-0.915759,0.0565527,0.359968,-0.860062,-0.361957,0.169663,0.386178,0.122969,0.699852,0.646102,-0.282595,0.589759,-0.868723,-0.0405608,-0.432084,0.345017,0.220914,0.790132,-0.512333,0.590177,0.119555,-0.963924;-0.0267303,-10.3226,-0.717462,1.96703
28;-0.873445,-0.307348,0.849733,0.631326,-0.00030456,0.15993,-0.108963,-0.785634,-0.240704,0.178917,0.608213,-0.922043,0.958305,-0.990416,0.682351,-0.0124104,0.895689,-0.90645,0.574537,-0.177583,-0.528831,-0.0900275,0.172143,0.527985,-0.29299,-0.892757,-0.279718,0.883989,-0.899815,-0.14584,0.29577,-0.931556,-0.828489,-0.0822795,0.454169,0.356202,0.473487,0.200805,0.373754,-0.118717,-0.5855,0.781717,-0.488331,0.358495,-0.151162,0.88632,-0.22769,0.887046,0.495665,-0.975856;-0.603579,-11.2725,-1.91547,3.17121
29;-0.829311,-0.557429,0.838519,0.730815,-0.0183026,-0.132168,-0.35632,-0.673637,-0.434615,0.542417,0.50056,-0.92305,0.977296,-0.994364,0.519226,-0.171573,0.925513,-0.902207,0.509717,-0.273563,-0.448305,-0.111422,-0.0371449,0.791819,-0.644197,-0.891484,-0.257278,0.656415,-0.929017,-0.31867,0.214716,-0.892706,-0.761679,-0.291768,0.473639,0.188492,0.761543,-0.254998,0.395566,0.573131,-0.83752,0.86047,-0.31829,0.586853,-0.254268,0.728335,-0.300442,0.830676,0.547012,-0.980316;1.31361,-12.9828,-1.84145,-0.123525
30;-0.21813,0.297115,0.901489,0.71904,-0.171472,-0.174972,-0.625459,-0.298407,-0.800382,-0.0484907,0.276678,-0.742365,0.857714,-0.996915,-0.0147279,-0.393728,0.976615,-0.61978,0.825199,0.699836,0.137542,-0.688492,-0.197854,0.227461,-0.387627,-0.810263,0.722312,0.75015,-0.903211,-0.334847,0.292379,-0.808331,-0.339563,0.244629,0.199963,0.382146,0.668706,-0.267661,0.543262,0.630347,-0.693601,0.767053,0.466295,0.778897,-0.0333158,0.874722,-0.34655,0.796422,-0.424665,-0.915702;1.41113,-8.15062,-0.478699,-0.583281
31;-0.423074,0.667176,0.635957,0.589657,-0.054778,0.578297,-0.217104,-0.257302,-0.141498,-0.662561,-0.138482,0.30705,0.00513167,-0.947183,-0.178469,-0.171311,0.897765,-0.742674,0.787281,0.513517,0.479254,-0.411135,-0.056099,-0.00750102,0.112854,-0.105978,0.740797,0.472421,-0.878389,-0.412417,0.453091,-0.930405,-0.123074,0.469816,-0.219521,0.421634,0.357206,-0.0577851,0.453077,0.278011,-0.321692,0.310374,0.401062,0.71454,-0.613125,0.91749,0.0673472,0.906146,-0.165319,-0.807728;-3.11182,-1.90126,-0.946101,1.9385
32;-0.584242,0.118817,0.450114,0.653933,-0.0541788,0.251883,-0.382919,-0.354513,-0.460972,-0.668025,0.00403368,0.568575,0.398741,-0.876754,-0.111431,-0.158361,0.581943,-0.814353,0.596483,0.212833,0.184135,-0.485396,-0.286615,0.0400201,0.285976,-0.143846,0.589639,-0.312779,-0.589408,-0.266574,0.289092,-0.916266,-0.0169307,0.674657,-0.173519,0.631891,-0.0226427,0.222333,0.375002,0.0348796,-0.140946,0.451289,0.525428,0.640298,-0.643952,0.806428,-0.380515,0.830054,0.0421182,-0.790888;-2.87304,0.0746116,-0.322744,-0.804105
