Passo;Reservat rio (Ativa  es);Sa da (Ativa  es)
26;0.343025,0.503735,0.277021,-0.303752,-0.245054,-0.873114,0.826421,-0.226004,0.261174,0.074826,0.403119,-0.68399,-0.149532,-0.259659,-0.486933,-0.836399,0.273892,-0.91321,0.143611,0.459654,0.489919,-0.380087,0.766851,-0.254368,-0.788311,-0.824862,0.344814,-0.253747,0.711452,-0.525333,0.319343,0.510122,0.0550566,0.100629,-0.807774,-0.12282,-0.593991,0.196601,0.630294,-0.785802,0.350557,-0.247766,-0.810978,-0.233689,-0.291266,0.682883,-0.549031,0.716437,-0.382467,0.239932;1.1326,-4.72346,-5.47275,4.57831
27;0.699543,0.316005,0.485061,-0.162165,-0.151232,-0.743468,0.797292,-0.673132,-0.148939,0.288717,0.110734,-0.43923,-0.243626,-0.0725363,-0.163219,-0.716644,-0.294329,-0.95706,0.384246,0.482364,0.122769,-0.573512,0.862244,0.345687,0.0451336,-0.627212,0.0565954,-0.110505,0.878091,-0.392027,0.4653,0.342361,0.411344,-0.663053,-0.957804,0.320227,-0.730027,0.675745,0.598581,-0.886783,0.531435,-0.19254,-0.892944,-0.453733,0.215643,0.941993,-0.767541,0.385081,-0.584158,0.229192;-2.48102,-1.57622,-5.1057,4.87154
28;0.5314,-0.365637,0.844778,-0.464914,0.152606,-0.712844,0.820572,-0.356027,0.276036,0.271015,-0.496981,-0.148417,-0.0198278,0.0635764,-0.195702,-0.0406028,-0.19929,-0.888376,0.0587255,0.010672,-0.51556,-0.531987,0.822751,0.636304,-0.258569,-0.787708,-0.397496,-0.189626,0.936008,-0.605867,0.583324,0.564627,0.682003,-0.554145,-0.862772,0.202477,0.196548,0.790626,0.0644399,-0.887388,0.726563,-0.684469,-0.518496,-0.526594,0.362211,0.91977,-0.288436,0.763176,-0.624456,-0.557496;-1.78629,-4.49556,-9.27833,4.30989
29;0.327961,-0.515057,0.830033,-0.209132,0.230758,-0.813038,0.844205,-0.32482,0.442193,-0.0493254,-0.262808,0.312386,0.266326,0.401893,0.0202027,-0.10327,-0.00136981,-0.745699,-0.118167,-0.597007,-0.855693,-0.733833,0.719071,0.406538,-0.339221,-0.86477,-0.283942,-0.0482353,0.922485,-0.351725,0.604915,0.690022,0.813543,-0.463546,-0.862398,-0.22049,-0.529391,0.795943,0.161725,-0.938824,0.361249,-0.607213,-0.635424,0.0712029,0.194568,0.944723,-0.436711,0.304881,-0.484792,-0.832074;2.15913,-7.45469,-10.3688,-0.495188
30;0.00591663,0.234432,0.466428,-0.00646703,0.432688,-0.692038,0.442355,-0.272495,0.0725625,-0.461842,0.551655,0.565685,-0.388812,0.234276,-0.099122,0.209651,-0.792878,-0.874835,0.22089,-0.655241,-0.784767,-0.633515,0.936208,0.360709,0.344729,-0.440569,0.134719,-0.0374031,0.429284,-0.656696,0.560747,0.67945,0.749711,-0.298645,-0.734767,0.0760434,-0.700492,0.273952,0.300625,-0.956064,0.0778851,-0.342811,-0.609712,0.6193,-0.104394,0.929124,-0.865236,-0.0819806,-0.175665,-0.398093;-2.77605,-7.8443,-7.65644,1.68441
31;-0.182302,0.241276,0.148834,-0.525433,0.102776,-0.611054,0.176475,-0.311325,-0.00302265,-0.293844,0.131103,0.553308,-0.604508,0.167809,-0.297568,0.336154,-0.792948,-0.71148,0.137184,-0.3974,-0.470825,-0.675353,0.936054,0.288913,-0.0557369,-0.41594,0.26427,0.0290753,0.438887,-0.844859,0.559658,0.527017,0.709187,-0.122167,-0.707806,0.354466,-0.583949,0.23854,0.465225,-0.914481,0.661749,-0.657914,-0.539488,0.53489,0.15148,0.781419,-0.735862,0.363912,-0.235102,-0.112472;-2.02939,-6.04536,-4.31926,1.73346
32;-0.259645,0.252836,0.246726,-0.688658,0.143562,-0.706702,0.183905,-0.255266,0.0377409,-0.451721,0.0866826,0.479884,-0.622185,0.188185,-0.604153,0.341004,-0.538445,-0.695373,0.15969,-0.174189,-0.274854,-0.909045,0.802717,-0.108582,-0.233433,-0.458376,0.374022,0.0559105,0.456142,-0.728286,0.543736,0.357256,0.84508,-0.026964,-0.697386,0.575124,-0.329436,0.236464,0.427305,-0.942765,0.47502,-0.464664,-0.624544,0.719884,0.266169,0.789898,-0.827892,0.661087,-0.383451,-0.187375;0.144936,-5.17445,-4.71047,2.47828
33;-0.309861,0.202729,0.164575,-0.778566,0.144969,-0.72193,0.266445,-0.241954,0.0266102,-0.371589,0.128999,0.434518,-0.606225,-0.14831,-0.631046,0.227198,-0.455272,-0.718108,0.160625,0.0271233,-0.263805,-0.93062,0.806446,0.034071,-0.133777,-0.299765,0.381245,0.056938,0.400182,-0.669095,0.525533,0.191136,0.827335,-0.302633,-0.838473,0.472792,-0.0800942,0.24004,0.358697,-0.936903,0.360461,-0.25381,-0.631857,0.753003,0.283448,0.834407,-0.858439,0.718744,-0.182596,-0.383297;-0.776476,-3.87515,-4.86042,2.35927
34;-0.161379,0.217306,0.167388,-0.77529,0.114388,-0.705815,0.29471,-0.215472,0.00895645,-0.280528,0.0106658,0.170573,-0.583948,-0.104776,-0.681677,0.297271,-0.428919,-0.775056,0.152011,0.00524141,-0.121918,-0.917748,0.809136,0.221023,-0.217437,-0.359654,0.355412,0.032801,0.406866,-0.666368,0.507242,0.27282,0.760564,-0.218626,-0.890847,0.311124,0.121361,0.226639,0.30926,-0.923849,0.48372,-0.213731,-0.657589,0.73192,0.259668,0.835644,-0.841577,0.711261,-0.208067,-0.421088;-1.08632,-3.97361,-5.32538,2.90222
35;-0.166665,0.248415,0.14349,-0.769542,0.101416,-0.699321,0.301228,-0.223972,0.0040545,-0.354482,0.047469,0.207109,-0.582869,-0.00518844,-0.667137,0.232692,-0.428711,-0.807211,0.135993,0.060106,-0.177106,-0.925275,0.771858,0.260668,-0.194788,-0.417611,0.347641,0.0476689,0.433443,-0.650494,0.516295,0.380827,0.756783,-0.155394,-0.894664,0.336788,0.110785,0.23171,0.335105,-0.933678,0.366979,-0.238224,-0.672614,0.764523,0.237556,0.867962,-0.854297,0.710295,-0.213418,-0.398363;-0.741427,-4.76865,-5.36196,2.85075
36;-0.144181,0.250975,0.0937845,-0.749755,0.10982,-0.695114,0.299799,-0.229797,0.00618141,-0.365732,0.118249,0.203763,-0.592481,0.0192693,-0.685746,0.274053,-0.450695,-0.816964,0.150265,0.0230095,-0.137949,-0.913062,0.787209,0.248333,-0.186527,-0.411888,0.343095,0.0339673,0.434837,-0.680619,0.52809,0.401244,0.73955,-0.135576,-0.885248,0.330791,0.0876917,0.236605,0.363213,-0.927902,0.313001,-0.221724,-0.664564,0.723523,0.225882,0.86348,-0.851224,0.715956,-0.190179,-0.373946;-0.927247,-5.03285,-5.13293,2.96385
37;-0.142523,0.257865,0.0792572,-0.754291,0.113512,-0.699729,0.293014,-0.229974,-0.00169136,-0.352936,0.10395,0.227303,-0.59467,0.00645879,-0.700961,0.277442,-0.460407,-0.807602,0.149793,0.0560831,-0.0962721,-0.911846,0.780544,0.259337,-0.214809,-0.396438,0.356446,0.0427446,0.441171,-0.686011,0.530298,0.372209,0.735391,-0.135536,-0.88358,0.336511,0.0677482,0.236122,0.373375,-0.927282,0.341567,-0.243924,-0.673839,0.71988,0.223524,0.852076,-0.849754,0.709686,-0.237735,-0.344808;-0.979361,-4.82429,-5.03917,2.87615
38;-0.140285,0.26265,0.0763716,-0.767059,0.116359,-0.70603,0.288717,-0.235761,-0.00103533,-0.38481,0.0893571,0.204928,-0.597961,0.010756,-0.706073,0.274829,-0.451644,-0.802311,0.151563,0.0865878,-0.0718129,-0.916845,0.779216,0.240333,-0.194071,-0.404372,0.359117,0.0434636,0.442782,-0.683722,0.527156,0.372773,0.740411,-0.125256,-0.886618,0.356512,0.106932,0.234818,0.362399,-0.929166,0.336518,-0.250494,-0.664348,0.727967,0.237176,0.849883,-0.854303,0.715013,-0.239806,-0.335369;-0.973469,-4.80141,-5.01457,3.03593
39;-0.12828,0.261507,0.065619,-0.767368,0.116939,-0.709335,0.292707,-0.232722,-0.00294831,-0.379326,0.0946542,0.183686,-0.597254,0.00773884,-0.712115,0.282626,-0.442942,-0.806386,0.155238,0.109611,-0.0611931,-0.917918,0.779358,0.232765,-0.18967,-0.400029,0.358979,0.0429092,0.440319,-0.68764,0.527218,0.362317,0.747635,-0.135689,-0.886609,0.36128,0.128329,0.235488,0.362457,-0.928873,0.332375,-0.238259,-0.659837,0.729945,0.238492,0.851601,-0.851207,0.71609,-0.237527,-0.350466;-1.0503,-4.73536,-4.9909,3.10579
40;-0.114558,0.258152,0.0682502,-0.768595,0.115822,-0.713152,0.296168,-0.232154,-0.00172198,-0.377049,0.0865773,0.173117,-0.597313,0.0047566,-0.713878,0.289919,-0.443837,-0.808073,0.153447,0.119785,-0.0416284,-0.918658,0.778599,0.24357,-0.186843,-0.393686,0.361268,0.0445631,0.437627,-0.688522,0.526083,0.353963,0.746044,-0.135528,-0.888387,0.349881,0.147036,0.235121,0.360296,-0.928891,0.339968,-0.233746,-0.658877,0.732835,0.231445,0.851698,-0.850461,0.715537,-0.240938,-0.355351;-1.1222,-4.6957,-5.01297,3.13805
41;-0.110299,0.260278,0.0639989,-0.770323,0.11413,-0.713942,0.295955,-0.234193,-0.00137016,-0.382407,0.0811076,0.16643,-0.595963,0.0116492,-0.712521,0.290973,-0.443116,-0.808591,0.153309,0.129129,-0.0413836,-0.919048,0.775888,0.248657,-0.185373,-0.398486,0.361765,0.0461098,0.438464,-0.688009,0.525175,0.360353,0.747164,-0.126738,-0.889567,0.347391,0.158177,0.234585,0.358613,-0.929402,0.340441,-0.239743,-0.656138,0.737848,0.23331,0.852894,-0.849977,0.715722,-0.238145,-0.352608;-1.10677,-4.73177,-5.00624,3.16057
42;-0.105858,0.260055,0.0610036,-0.769135,0.114061,-0.714525,0.296478,-0.233448,-0.000304296,-0.382277,0.0852408,0.164156,-0.59604,0.0170319,-0.714472,0.296333,-0.442671,-0.809668,0.155164,0.128807,-0.0368616,-0.919295,0.775011,0.244404,-0.1862,-0.400962,0.361493,0.0463333,0.437961,-0.689954,0.52587,0.362217,0.748361,-0.122218,-0.888346,0.349542,0.158167,0.234991,0.360649,-0.929533,0.33351,-0.239746,-0.656367,0.738372,0.231395,0.853458,-0.849788,0.716318,-0.236548,-0.355006;-1.09469,-4.76815,-4.99737,3.18093
43;0.132796,-0.0969374,0.217686,-0.525126,-0.0769839,-0.726355,0.68413,-0.58449,-0.0896112,0.166303,-0.225558,0.0930617,-0.468369,0.157649,-0.395872,-0.117142,-0.0979787,-0.740899,0.386218,0.256767,-0.0949666,-0.877801,0.746307,-0.015275,-0.3294,-0.714299,0.350411,0.129054,0.772567,-0.647869,0.44772,0.496184,0.633329,-0.247236,-0.962953,-0.164359,-0.401002,0.654632,0.622657,-0.910051,0.563365,-0.238258,-0.813605,0.436782,0.197608,0.905968,-0.607748,0.774167,-0.356413,-0.521711;2.83869,-5.35183,-4.57632,0.0582076
44;-0.115583,0.448535,0.691725,-0.265203,0.631065,-0.914922,0.671802,0.280208,0.39487,-0.571068,0.548022,-0.335769,-0.669159,-0.524501,-0.628389,0.120509,-0.689653,-0.884646,0.35306,0.34902,0.163264,-0.539758,0.820634,0.230492,-0.499151,0.0568626,0.57632,-0.200633,-0.0346803,-0.514798,0.422617,0.0247212,0.501,-0.231766,-0.522497,-0.22306,0.529203,-0.31074,0.193613,-0.954157,-0.145817,0.126095,-0.142775,0.652453,-0.371854,0.774862,-0.739554,0.858424,-0.354838,-0.115813;-5.08343,-4.05998,-7.52195,6.21357
