Passo;Reservat rio (Ativa  es);Sa da (Ativa  es)
44;0.312898,0.3618,-0.232326,0.399256,-0.00226842,-0.13993,-0.65208,0.133014,-0.306762,0.288823,0.103571,-0.456609;-0.79178,-7.5128,-0.528161,-0.0804619
45;0.273267,0.160411,0.05301,0.309487,0.373016,0.175898,-0.534584,0.352393,0.313771,0.124646,0.0545528,-0.859849;-0.506165,-6.96414,-0.92116,1.05736
46;-0.212156,-0.343113,0.385291,0.631987,0.561107,0.0153992,-0.625745,-0.220061,-0.159287,0.301831,-0.0082428,-0.53313;0.34274,-2.9729,-2.31189,0.834631
47;-0.283104,0.21066,0.277323,0.441713,0.837547,0.347434,-0.508705,-0.313198,-0.0592832,0.574548,0.443779,-0.00978171;-0.140982,-4.50652,-2.92097,0.438732
48;-0.136119,0.618772,-0.295002,0.734333,0.724726,0.283079,-0.310993,-0.655705,0.146986,-0.15022,0.553213,0.306128;-2.50203,-6.30522,-2.02796,-0.198019
49;0.0479487,0.618772,-0.369536,0.734333,0.724726,0.283079,0.0752878,-0.650424,-0.163804,-0.254996,-0.107437,0.142141;-2.12379,-5.68012,-1.56088,-1.36081
50;0.107799,0.618772,0.117762,0.734333,0.724726,0.283079,-0.0499508,-0.649655,-0.327348,0.326199,-0.0460065,0.397338;0.170487,-5.29545,-2.63712,-0.960267
51;0.51682,0.625072,-0.00192563,0.0495768,0.748868,0.481449,0.0600094,0.263236,-0.029825,0.533526,-0.0622954,-0.198674;-0.171744,-6.13494,-1.81995,-0.486733
52;0.304855,0.3618,-0.208437,0.399256,-0.00226842,-0.13993,-0.641845,0.132753,-0.316813,0.315833,0.097706,-0.427839;-0.677011,-7.39782,-0.59687,-0.0766134
53;0.20205,0.3618,-0.322228,0.399256,-0.00226842,-0.13993,-0.728076,0.135469,-0.0891364,0.114064,0.182746,-0.783759;-1.30586,-8.64172,0.0964381,0.176516
54;0.323544,0.3618,-0.379341,0.399256,-0.00226842,-0.13993,-0.834003,0.137985,-0.0478413,0.0373999,0.322193,-0.83313;-1.72813,-9.20526,0.212297,0.324439
55;0.339684,0.3618,-0.466929,0.399256,-0.00226842,-0.13993,-0.842966,0.138941,0.00256288,-0.088849,0.315026,-0.867454;-2.19533,-9.32365,0.360802,0.302937
56;0.350788,0.3618,-0.462623,0.399256,-0.00226842,-0.13993,-0.84548,0.140514,0.00731271,-0.0823952,0.270666,-0.882027;-2.11859,-9.34704,0.352626,0.288291
57;0.555047,0.564497,-0.75532,0.372083,0.26575,0.0274009,-0.946075,-0.104547,-0.0852163,-0.328987,0.515845,-0.931311;-3.84903,-11.0554,0.597317,-0.411727
