Passo;Reservat rio (Ativa  es);Sa da (Ativa  es)
85;0.695647,0.683542,-0.565182,0.615209,-0.125644,0.955726,0.105788,0.135538,0.0239164,-0.653945;-0.160316,-15.7697,0.10189,-0.198256
86;0.0564295,0.821003,-0.123071,0.473246,0.516669,0.918013,0.464607,-0.366442,0.291237,-0.690953;0.924938,-13.6153,0.555803,2.30654
87;0.483397,0.771729,-0.103995,0.679236,0.479013,0.782623,-0.00164219,0.0862835,0.305672,-0.341423;0.444556,-15.2976,1.26557,1.37993
88;0.556633,0.774885,-0.103995,0.709998,0.479013,0.782623,0.0435729,0.101671,0.329015,-0.341423;0.438918,-15.8623,1.27799,1.26166
89;0.395521,0.379406,-0.15682,0.347959,0.502887,0.364372,-0.319125,-0.339444,0.242513,-0.0499623;0.854363,-8.83555,0.827521,2.84457
90;0.358052,0.162153,-0.15682,0.387957,0.502887,0.364372,-0.437361,-0.32794,0.340595,-0.0499623;0.762985,-6.55042,0.910259,3.06296
91;0.370362,0.138947,-0.15682,0.400696,0.502887,0.364372,-0.435358,-0.32794,0.403613,-0.0499623;0.79578,-6.47249,0.925287,3.13319
92;0.374255,0.145283,-0.15682,0.400482,0.502887,0.364372,-0.435358,-0.32794,0.410137,-0.0499623;0.805181,-6.54518,0.928578,3.14169
93;0.37419,0.145785,-0.15682,0.400482,0.502887,0.364372,-0.435358,-0.32794,0.40836,-0.0499623;0.803836,-6.54758,0.928314,3.1389
94;0.37419,0.145775,-0.15682,0.400482,0.502887,0.364372,-0.435358,-0.32794,0.408219,-0.0499623;0.803709,-6.54738,0.928283,3.13867
95;0.37419,0.145775,-0.15682,0.400482,0.502887,0.364372,-0.435358,-0.32794,0.408221,-0.0499623;0.803711,-6.54738,0.928283,3.13868
96;0.37419,0.145775,-0.15682,0.400482,0.502887,0.364372,-0.435358,-0.32794,0.408221,-0.0499623;0.803711,-6.54738,0.928283,3.13868
97;0.37419,0.145775,-0.15682,0.400482,0.502887,0.364372,-0.435358,-0.32794,0.408221,-0.0499623;0.803711,-6.54738,0.928283,3.13868
98;0.37419,0.145775,-0.15682,0.400482,0.502887,0.364372,-0.435358,-0.32794,0.408221,-0.0499623;0.803711,-6.54738,0.928283,3.13868
99;0.341054,0.486363,-0.318982,-0.00606388,0.00386718,0.708801,-0.214592,-0.702227,0.401543,0.111536;1.83836,-10.9818,-0.523522,2.76274
100;0.140284,0.42468,-0.318982,-0.0342166,0.00386718,0.708801,-0.311792,-0.698573,0.227164,0.111536;1.63555,-9.16588,-0.547843,2.73227
101;0.365618,0.673019,-0.203096,-0.464197,-0.471862,0.884687,-0.585184,-0.776661,0.55282,0.238303;2.52087,-11.0825,-0.79286,3.07131
102;0.492675,0.100219,-0.515076,-0.214756,-0.544958,0.939765,-0.739616,-0.423436,0.427329,-0.33237;1.17982,-5.78883,-0.627597,2.46612
103;0.811216,0.0710832,-0.500736,0.159409,-0.579204,0.837246,-0.830894,-0.00477074,0.329124,0.147502;0.605267,-9.40441,-0.26863,0.658832
104;0.857578,0.212063,-0.500736,0.170737,-0.579204,0.837246,-0.82508,0.0165425,0.344064,0.147502;0.65786,-10.8504,-0.208955,0.601501
105;0.630888,0.50345,-0.565182,0.670453,-0.125644,0.955726,-0.039378,0.1703,0.186469,-0.653945;-0.22611,-13.7087,0.246442,0.105807
106;-0.174243,0.605929,-0.243274,0.76724,0.796189,0.787221,0.695851,-0.208797,-0.00986529,-0.75339;0.126889,-12.2065,0.622544,1.71693
107;-0.107127,0.667416,-0.243274,0.725794,0.796189,0.787221,0.659836,-0.213018,0.113033,-0.75339;0.318585,-12.8978,0.675102,1.98953
108;-0.12164,0.660285,-0.243274,0.727961,0.796189,0.787221,0.659323,-0.213018,0.0925373,-0.75339;0.292339,-12.7652,0.668286,1.96135
109;-0.120883,0.659378,-0.243274,0.727992,0.796189,0.787221,0.659323,-0.213018,0.0949186,-0.75339;0.294128,-12.7626,0.668724,1.96473
110;-0.120872,0.659447,-0.243274,0.727992,0.796189,0.787221,0.659323,-0.213018,0.0952216,-0.75339;0.294425,-12.7635,0.668803,1.9652
111;-0.120872,0.659448,-0.243274,0.727992,0.796189,0.787221,0.659323,-0.213018,0.0951984,-0.75339;0.294405,-12.7635,0.668799,1.96516
112;-0.120872,0.659448,-0.243274,0.727992,0.796189,0.787221,0.659323,-0.213018,0.0951981,-0.75339;0.294405,-12.7635,0.668798,1.96516
113;-0.120872,0.659448,-0.243274,0.727992,0.796189,0.787221,0.659323,-0.213018,0.0951981,-0.75339;0.294405,-12.7635,0.668798,1.96516
114;0.129926,0.839441,-0.123071,0.416643,0.516669,0.918013,0.416169,-0.370259,0.434915,-0.690953;1.13244,-13.9358,0.606071,2.64908
115;-0.0442944,0.900952,-0.287727,0.0443299,0.0224865,0.96921,0.570621,-0.724529,0.427048,-0.596549;1.7191,-13.7884,-0.690178,2.58899
116;0.315677,0.857479,-0.269904,0.366074,-0.0275857,0.914599,0.154553,-0.414035,0.197445,-0.19131;1.09473,-15.4964,-0.204088,1.11138
117;0.423599,0.869736,-0.269904,0.411126,-0.0275857,0.914599,0.160752,-0.399011,0.219814,-0.19131;1.07571,-16.1146,-0.147822,0.989168
118;-0.00758712,0.788681,-0.123071,0.467786,0.516669,0.918013,0.308853,-0.348519,0.364473,-0.690953;0.927955,-12.5858,0.678409,2.60063
119;0.481911,0.749757,-0.103995,0.689796,0.479013,0.782623,0.00221135,0.0862835,0.315511,-0.341423;0.431774,-15.1388,1.26509,1.3748
120;0.559214,0.776552,-0.103995,0.709754,0.479013,0.782623,0.0435729,0.101671,0.3356,-0.341423;0.446145,-15.8914,1.28003,1.27114
121;0.395448,0.379669,-0.15682,0.347959,0.502887,0.364372,-0.319125,-0.339444,0.241984,-0.0499623;0.854002,-8.837,0.827458,2.84376
122;0.358052,0.162142,-0.15682,0.387957,0.502887,0.364372,-0.437361,-0.32794,0.340517,-0.0499623;0.762912,-6.55027,0.910241,3.06283
123;0.370362,0.138947,-0.15682,0.400696,0.502887,0.364372,-0.435358,-0.32794,0.403616,-0.0499623;0.795783,-6.4725,0.925287,3.1332
124;0.374255,0.145283,-0.15682,0.400482,0.502887,0.364372,-0.435358,-0.32794,0.410137,-0.0499623;0.805181,-6.54518,0.928578,3.14169
125;0.37419,0.145785,-0.15682,0.400482,0.502887,0.364372,-0.435358,-0.32794,0.40836,-0.0499623;0.803836,-6.54758,0.928314,3.1389
126;0.37419,0.145775,-0.15682,0.400482,0.502887,0.364372,-0.435358,-0.32794,0.408219,-0.0499623;0.803709,-6.54738,0.928283,3.13867
127;0.37419,0.145775,-0.15682,0.400482,0.502887,0.364372,-0.435358,-0.32794,0.408221,-0.0499623;0.803711,-6.54738,0.928283,3.13868
128;0.37419,0.145775,-0.15682,0.400482,0.502887,0.364372,-0.435358,-0.32794,0.408221,-0.0499623;0.803711,-6.54738,0.928283,3.13868
129;0.37419,0.145775,-0.15682,0.400482,0.502887,0.364372,-0.435358,-0.32794,0.408221,-0.0499623;0.803711,-6.54738,0.928283,3.13868
130;0.281412,0.600507,0.0663659,0.555084,0.469126,0.527088,0.0914267,0.212299,0.243594,-0.552082;-0.00216985,-11.0365,1.62774,1.65031
131;0.301427,0.700364,0.0663659,0.506857,0.469126,0.527088,0.275389,0.190904,0.202056,-0.552082;0.113496,-12.5652,1.46749,1.49467
132;0.497596,0.869538,0.188727,0.0541493,-0.00738011,0.799876,-0.0703647,0.0208789,0.494265,-0.454534;1.06043,-13.3669,1.15251,1.98706
133;-0.110542,0.717984,-0.123071,0.4905,0.516669,0.918013,0.420908,-0.358749,0.542067,-0.690953;1.03459,-12.1964,0.601963,2.79474
134;0.488074,0.758939,-0.103995,0.682228,0.479013,0.782623,1.18634e-05,0.0862835,0.336794,-0.341423;0.463854,-15.244,1.27027,1.42044
135;0.557365,0.775721,-0.103995,0.709893,0.479013,0.782623,0.0435729,0.101671,0.332852,-0.341423;0.442885,-15.8753,1.27903,1.26751
136;0.395489,0.379471,-0.15682,0.347959,0.502887,0.364372,-0.319125,-0.339444,0.242248,-0.0499623;0.854154,-8.83574,0.827476,2.84417
137;0.358052,0.162148,-0.15682,0.387957,0.502887,0.364372,-0.437361,-0.32794,0.340576,-0.0499623;0.762966,-6.55037,0.910254,3.06293
138;0.370362,0.138947,-0.15682,0.400696,0.502887,0.364372,-0.435358,-0.32794,0.403614,-0.0499623;0.795781,-6.47249,0.925287,3.13319
139;0.374255,0.145283,-0.15682,0.400482,0.502887,0.364372,-0.435358,-0.32794,0.410137,-0.0499623;0.805181,-6.54518,0.928578,3.14169
140;0.37419,0.145785,-0.15682,0.400482,0.502887,0.364372,-0.435358,-0.32794,0.40836,-0.0499623;0.803836,-6.54758,0.928314,3.1389
141;0.37419,0.145775,-0.15682,0.400482,0.502887,0.364372,-0.435358,-0.32794,0.408219,-0.0499623;0.803709,-6.54738,0.928283,3.13867
142;0.37419,0.145775,-0.15682,0.400482,0.502887,0.364372,-0.435358,-0.32794,0.408221,-0.0499623;0.803711,-6.54738,0.928283,3.13868
143;0.37419,0.145775,-0.15682,0.400482,0.502887,0.364372,-0.435358,-0.32794,0.408221,-0.0499623;0.803711,-6.54738,0.928283,3.13868
144;0.37419,0.145775,-0.15682,0.400482,0.502887,0.364372,-0.435358,-0.32794,0.408221,-0.0499623;0.803711,-6.54738,0.928283,3.13868
145;0.281412,0.600507,0.0663659,0.555084,0.469126,0.527088,0.0914267,0.212299,0.243594,-0.552082;-0.00216985,-11.0365,1.62774,1.65031
146;0.266494,0.848977,-0.105531,0.127507,-0.0403241,0.796497,0.486293,-0.325591,0.194381,-0.429567;1.0688,-14.4863,-0.0822438,1.32789
147;0.308504,0.927981,0.0186265,-0.382506,-0.505507,0.921837,0.048674,-0.465915,0.37936,-0.317076;1.80389,-13.0097,-0.34222,1.99019
148;-0.317312,0.817866,-0.287727,0.0909927,0.0224865,0.96921,0.516934,-0.716545,0.458934,-0.596549;1.59074,-11.9203,-0.68043,2.74136
149;0.596596,0.607264,-0.565182,0.565136,-0.125644,0.955726,-0.0859051,0.13804,0.0888377,-0.653945;-0.131504,-14.0263,0.199027,0.235322
150;0.695647,0.683542,-0.565182,0.615209,-0.125644,0.955726,0.105788,0.135538,0.0239164,-0.653945;-0.160316,-15.7697,0.10189,-0.198256
151;0.0564295,0.821003,-0.123071,0.473246,0.516669,0.918013,0.464607,-0.366442,0.291237,-0.690953;0.924938,-13.6153,0.555803,2.30654
152;0.483397,0.771729,-0.103995,0.679236,0.479013,0.782623,-0.00164219,0.0862835,0.305672,-0.341423;0.444556,-15.2976,1.26557,1.37993
153;0.556633,0.774885,-0.103995,0.709998,0.479013,0.782623,0.0435729,0.101671,0.329015,-0.341423;0.438918,-15.8623,1.27799,1.26166
154;0.395521,0.379406,-0.15682,0.347959,0.502887,0.364372,-0.319125,-0.339444,0.242513,-0.0499623;0.854363,-8.83555,0.827521,2.84457
155;0.358052,0.162153,-0.15682,0.387957,0.502887,0.364372,-0.437361,-0.32794,0.340595,-0.0499623;0.762985,-6.55042,0.910259,3.06296
156;0.370362,0.138947,-0.15682,0.400696,0.502887,0.364372,-0.435358,-0.32794,0.403613,-0.0499623;0.79578,-6.47249,0.925287,3.13319
157;0.374255,0.145283,-0.15682,0.400482,0.502887,0.364372,-0.435358,-0.32794,0.410137,-0.0499623;0.805181,-6.54518,0.928578,3.14169
158;0.37419,0.145785,-0.15682,0.400482,0.502887,0.364372,-0.435358,-0.32794,0.40836,-0.0499623;0.803836,-6.54758,0.928314,3.1389
159;0.37419,0.145775,-0.15682,0.400482,0.502887,0.364372,-0.435358,-0.32794,0.408219,-0.0499623;0.803709,-6.54738,0.928283,3.13867
160;0.37419,0.145775,-0.15682,0.400482,0.502887,0.364372,-0.435358,-0.32794,0.408221,-0.0499623;0.803711,-6.54738,0.928283,3.13868
161;0.37419,0.145775,-0.15682,0.400482,0.502887,0.364372,-0.435358,-0.32794,0.408221,-0.0499623;0.803711,-6.54738,0.928283,3.13868
162;0.37419,0.145775,-0.15682,0.400482,0.502887,0.364372,-0.435358,-0.32794,0.408221,-0.0499623;0.803711,-6.54738,0.928283,3.13868
163;0.37419,0.145775,-0.15682,0.400482,0.502887,0.364372,-0.435358,-0.32794,0.408221,-0.0499623;0.803711,-6.54738,0.928283,3.13868
164;0.341054,0.486363,-0.318982,-0.00606388,0.00386718,0.708801,-0.214592,-0.702227,0.401543,0.111536;1.83836,-10.9818,-0.523522,2.76274
165;0.140284,0.42468,-0.318982,-0.0342166,0.00386718,0.708801,-0.311792,-0.698573,0.227164,0.111536;1.63555,-9.16588,-0.547843,2.73227
166;0.365618,0.673019,-0.203096,-0.464197,-0.471862,0.884687,-0.585184,-0.776661,0.55282,0.238303;2.52087,-11.0825,-0.79286,3.07131
167;0.492675,0.100219,-0.515076,-0.214756,-0.544958,0.939765,-0.739616,-0.423436,0.427329,-0.33237;1.17982,-5.78883,-0.627597,2.46612
