Passo;Reservat rio (Ativa  es);Sa da (Ativa  es)
28;0.233905,-0.567416,-0.732883,-0.941565,0.0263258,0.511504,-0.134044,-0.44904,0.153088,0.583485,-0.846474,-0.888632,0.739962,-0.319832,-0.899358,0.285328,0.575825,-0.755511,0.819126,0.956211,0.093623,0.641362,0.561783,-0.824598,-0.286382,-0.792464,-0.98365,0.312413,-0.863945,0.594329,-0.120375,-0.528929,-0.864672,0.957065,0.379274,0.153834,0.520426,0.87721,0.528758,-0.792736,0.929324,-0.403868,-0.392529,0.922033,-0.0309521,0.000416766,0.203853,0.564978,-0.842049,-0.250579;22.2487,-8.08519,-30.9046,13.9383
29;0.670573,-0.441013,-0.0938577,-0.899816,0.797495,0.565379,0.390197,-0.178884,0.202631,0.546914,-0.929988,-0.739408,0.633428,-0.509696,-0.495416,0.911325,0.847558,-0.678862,0.574933,0.934152,-0.0282079,0.930508,0.207156,-0.367119,0.510953,-0.433658,-0.967211,0.204983,-0.692575,0.788821,-0.222309,0.074316,-0.231509,0.949692,0.195705,0.446404,0.454923,0.684243,0.192586,-0.876849,0.539976,-0.593929,-0.283729,0.615141,-0.131371,0.259503,0.35398,0.353437,-0.622249,-0.248071;19.8712,4.31633,-23.11,30.8345
30;0.681647,-0.457838,-0.473525,-0.961911,0.655515,0.058127,0.476925,-0.340132,0.831874,0.790592,-0.88905,-0.870907,0.350514,-0.135285,-0.677703,0.769138,0.395223,-0.741719,0.792324,0.959638,-0.290948,0.555421,-0.203581,-0.435137,0.0087486,-0.821759,-0.978594,-0.109145,-0.724304,0.764229,-0.326846,-0.443827,-0.619456,0.932526,-0.36758,-0.0728255,0.491613,0.667283,0.257522,-0.828946,0.755577,-0.755093,0.00824749,0.879661,-0.0256053,-0.34647,0.114437,0.720182,-0.832271,-0.732877;28.2372,-2.76579,-27.1602,33.8392
31;0.824424,-0.786955,-0.417538,-0.946702,0.571159,0.084439,-0.00141453,-0.814427,0.454288,0.605795,-0.950878,-0.727952,0.409953,-0.344395,-0.880659,0.857337,0.758193,-0.890461,0.625922,0.943427,-0.727132,0.755491,-0.358579,-0.643498,-0.278604,-0.476441,-0.988617,-0.123174,-0.375506,0.677395,0.168088,-0.235632,-0.916614,0.927317,0.363864,0.0676847,0.125844,0.514286,0.279859,-0.792145,0.808767,-0.849419,0.188429,0.870045,-0.144893,-0.279982,-0.260551,0.865034,-0.297155,-0.474748;28.028,-7.63714,-29.0195,28.0723
32;0.84137,-0.785616,-0.450866,-0.96778,0.395554,-0.11192,0.0236096,-0.584519,0.578547,0.627253,-0.944231,-0.746339,0.5114,-0.54913,-0.92656,0.844356,0.601105,-0.8247,0.701918,0.957436,-0.558257,0.714217,-0.592417,-0.626025,-0.232892,-0.627973,-0.981499,0.0325211,-0.324415,0.449331,0.0540064,-0.128222,-0.890879,0.847812,0.426759,0.138496,0.157994,0.500687,0.367095,-0.841719,0.715751,-0.74607,0.413402,0.937057,-0.198803,-0.408069,-0.181184,0.869398,-0.535503,-0.250078;29.9901,-6.8222,-25.0723,21.2869
33;0.703471,-0.481019,-0.60533,-0.923982,0.380121,-0.27533,0.607595,-0.288823,0.146215,0.637061,-0.669778,-0.905705,-0.0677102,-0.110956,-0.647614,0.524837,0.0433238,-0.542082,0.913483,0.963177,-0.123666,0.470819,-0.377748,-0.602972,0.18586,-0.630638,-0.926005,0.0387847,-0.665965,0.852671,-0.723081,-0.211672,-0.670627,0.784769,-0.218363,-0.257929,0.350672,0.799907,0.818686,-0.504159,0.856726,-0.82816,0.330897,0.959935,0.367222,0.137715,-0.221897,0.470701,-0.78955,-0.51788;14.8587,-4.79093,-24.4087,23.6277
34;0.655259,-0.382501,-0.571414,-0.925044,0.732995,-0.24334,0.553265,-0.555098,-0.261586,0.546138,-0.727024,-0.838261,-0.0112375,0.241333,-0.495351,0.614116,0.285154,-0.670044,0.848967,0.91294,-0.504371,0.398339,0.105516,-0.711648,0.508727,-0.638025,-0.951158,-0.03233,-0.626398,0.853983,-0.606564,-0.256464,-0.798127,0.792067,-0.213848,-0.359064,0.296925,0.822367,0.734692,-0.24361,0.828515,-0.825276,0.306042,0.838909,0.468047,0.173948,-0.18361,0.518862,-0.569696,-0.507691;11.1688,-11.0034,-27.7126,32.2585
35;0.612307,-0.298172,-0.602819,-0.936351,0.697562,-0.0614756,0.46391,-0.64211,-0.314157,0.521528,-0.728697,-0.710188,0.155908,0.330474,-0.600826,0.567669,0.165722,-0.602483,0.870391,0.916666,-0.457556,0.436799,0.236184,-0.797582,0.554786,-0.628021,-0.941502,-0.0309475,-0.635366,0.787664,-0.549303,-0.321599,-0.748828,0.827338,-0.369373,-0.530367,0.272956,0.786343,0.783342,-0.225776,0.879678,-0.840648,0.329632,0.890236,0.446513,0.170264,0.106004,0.441587,-0.502443,-0.379205;10.3913,-12.9438,-30.42,32.0072
36;0.628158,-0.285306,-0.611739,-0.936447,0.723178,-0.035783,0.431044,-0.689354,-0.254913,0.461093,-0.721456,-0.70174,0.209905,0.362672,-0.617782,0.588965,0.334052,-0.660697,0.862733,0.915303,-0.428514,0.418816,0.259043,-0.801789,0.653835,-0.580591,-0.945021,-0.030566,-0.677577,0.758546,-0.488414,-0.323302,-0.708419,0.842015,-0.377044,-0.512899,0.265527,0.798718,0.762363,-0.169732,0.900822,-0.859702,0.256271,0.86017,0.405973,0.155524,0.0471439,0.451007,-0.383434,-0.444541;10.4564,-13.4099,-31.2497,32.7049
37;0.610979,-0.267968,-0.613289,-0.931883,0.723774,-0.0066396,0.465716,-0.695607,-0.283672,0.46893,-0.72493,-0.659288,0.257617,0.38617,-0.630958,0.583747,0.324559,-0.581611,0.875035,0.926333,-0.396112,0.37704,0.266007,-0.802297,0.655411,-0.573119,-0.944981,0.0092638,-0.678257,0.727764,-0.474193,-0.333474,-0.674475,0.8214,-0.404358,-0.51688,0.267581,0.791315,0.7587,-0.187652,0.903297,-0.853095,0.289041,0.868928,0.394998,0.133312,0.0993019,0.421812,-0.396701,-0.407345;10.8484,-12.8883,-31.59,32.4939
