Passo;Reservat rio (Ativa  es);Sa da (Ativa  es)
59;0.181135,-0.722912,0.506605,-0.598879,0.220925,0.898279,0.666308,0.893137,-0.2471,0.669194,0.536098,0.267115,-0.523483,-0.763976,-0.267708,-0.962216,0.474328,-0.142402,-0.0253765,-0.312657,0.313305,0.922028,0.308196,-0.840569,-0.785741;0.204935,0.286458,-3.81489,7.73151
60;0.432168,-0.0140138,0.856576,-0.972677,0.326894,0.940293,0.815368,0.645457,-0.200474,0.898074,0.785315,0.214995,-0.653293,-0.702981,-0.857924,-0.595161,0.953879,-0.163912,0.078682,0.832016,0.537156,0.952043,0.409249,-0.818635,-0.71705;3.78089,0.160585,-0.0973079,9.17607
61;0.575411,-0.94063,0.874232,-0.96328,0.246402,0.989406,0.846356,0.771564,-0.129348,0.965643,0.809381,-0.232932,-0.632752,0.317362,-0.91247,-0.398708,0.546593,-0.163912,0.0813643,0.224965,0.319519,0.964145,0.694835,-0.818635,-0.791764;6.98802,-0.435257,1.46579,3.9126
62;0.70758,-0.842059,0.927976,-0.808152,0.650823,0.986905,0.969107,0.852871,0.627099,0.981895,0.345334,0.290542,-0.717717,-0.595617,-0.716732,-0.150319,0.789493,-0.681706,-0.57831,0.815784,0.894518,0.954548,0.789256,-0.901693,-0.946245;7.53325,-8.07138,-2.9289,9.17408
63;0.665275,-0.872149,0.859278,-0.74487,0.735292,0.985912,0.972857,0.86924,0.368272,0.974124,0.198968,0.42213,-0.889016,-0.16925,-0.785821,0.365114,0.625045,-0.681706,-0.578884,0.89358,0.632058,0.682618,0.858408,-0.901693,-0.953811;9.70877,-8.62676,-2.19664,6.91558
64;0.259152,-0.886315,0.856572,-0.74042,0.649777,0.981285,0.966762,0.617198,0.755006,0.95379,-0.340754,0.534118,-0.820791,0.188915,-0.163074,0.535956,0.278212,-0.35248,-0.393287,0.806518,0.473703,0.365682,0.757697,-0.764275,-0.924914;10.6463,-11.1277,2.50183,5.82692
65;0.122659,-0.640691,0.628244,0.146383,0.511909,0.898333,0.937071,0.796056,0.733578,0.903194,-0.645192,0.899487,-0.592351,-0.588925,0.114253,0.308608,-0.194954,-0.333041,-0.467557,0.696689,0.246653,0.0353032,0.801374,-0.792031,-0.919651;5.07434,-12.9133,-1.70671,7.26806
66;-0.192577,0.000912317,0.853001,-0.383055,0.79029,0.714461,0.947927,0.576973,0.784046,0.33536,-0.540484,0.859339,-0.744548,0.0234704,-0.00223735,0.287299,0.465638,-0.35248,-0.441347,0.930501,0.398442,0.38678,0.180689,-0.764275,-0.90779;7.30661,-8.7716,-1.03373,8.48072
67;0.0782111,-0.37215,0.725618,-0.204397,0.776037,0.881988,0.958617,0.402503,0.784628,0.840668,-0.477661,0.833921,-0.716555,0.0645352,-0.034604,0.452215,-0.0504811,-0.35248,-0.415541,0.943689,0.576973,0.307971,0.25964,-0.764275,-0.914807;7.01065,-11.9715,0.971438,5.95518
68;-0.00322448,-0.844684,0.0377228,0.513251,0.0859009,0.708854,0.843449,0.722743,0.704745,0.364172,-0.837742,0.770277,-0.440607,0.0878279,0.399628,-0.0245332,-0.644113,-0.177334,-0.259943,0.576082,0.409433,-0.156411,0.594189,-0.455615,-0.809687;2.76436,-13.4597,-0.786162,4.01194
