Passo;Reservat rio (Ativa  es);Sa da (Ativa  es)
97;0.00536536,-0.753705,-0.0429371,0.548543,-0.231999,-0.0243543,0.199253,-0.696101,-0.08783,-0.0287492;-0.464494,0.634759,-0.731649,1.83663
98;0.00536536,-0.753705,-0.0429371,0.548543,-0.231999,-0.0243543,0.199253,-0.696101,-0.08783,-0.0287492;-0.464494,0.634759,-0.731649,1.83663
99;0.00536536,-0.753705,-0.0429371,0.548543,-0.231999,-0.0243543,0.199253,-0.696101,-0.08783,-0.0287492;-0.464494,0.634759,-0.731649,1.83663
100;0.00536536,-0.753705,-0.0429371,0.548543,-0.231999,-0.0243543,0.199253,-0.696101,-0.08783,-0.0287492;-0.464494,0.634759,-0.731649,1.83663
101;0.00536536,-0.753705,-0.0429371,0.548543,-0.231999,-0.0243543,0.199253,-0.696101,-0.08783,-0.0287492;-0.464494,0.634759,-0.731649,1.83663
102;0.00536536,-0.753705,-0.0429371,0.548543,-0.231999,-0.0243543,0.199253,-0.696101,-0.08783,-0.0287492;-0.464494,0.634759,-0.731649,1.83663
103;0.00536536,-0.753705,-0.0429371,0.548543,-0.231999,-0.0243543,0.199253,-0.696101,-0.08783,-0.0287492;-0.464494,0.634759,-0.731649,1.83663
104;0.00536536,-0.753705,-0.0429371,0.548543,-0.231999,-0.0243543,0.199253,-0.696101,-0.08783,-0.0287492;-0.464494,0.634759,-0.731649,1.83663
105;0.00536536,-0.753705,-0.0429371,0.548543,-0.231999,-0.0243543,0.199253,-0.696101,-0.08783,-0.0287492;-0.464494,0.634759,-0.731649,1.83663
106;0.00536536,-0.753705,-0.0429371,0.548543,-0.231999,-0.0243543,0.199253,-0.696101,-0.08783,-0.0287492;-0.464494,0.634759,-0.731649,1.83663
107;0.00536536,-0.753705,-0.0429371,0.548543,-0.231999,-0.0243543,0.199253,-0.696101,-0.08783,-0.0287492;-0.464494,0.634759,-0.731649,1.83663
108;0.00536536,-0.753705,-0.0429371,0.548543,-0.231999,-0.0243543,0.199253,-0.696101,-0.08783,-0.0287492;-0.464494,0.634759,-0.731649,1.83663
109;-0.130255,-0.854373,-0.170548,0.672029,-0.197848,-0.074955,0.150917,-0.833629,-0.519458,-0.10011;-1.84541,1.26598,0.492353,1.46844
110;-0.155303,-0.947689,-0.234333,0.634747,0.307744,0.421055,0.360414,-0.931002,-0.435736,0.471104;-2.65996,-1.41196,0.988693,1.28674
111;-0.588677,-0.971581,-0.221753,0.226345,-0.0201263,0.385093,0.478516,-0.97412,-0.642929,0.560418;-4.05027,-3.77875,1.96569,0.50426
112;0.00536536,-0.753705,-0.0429371,0.517435,0.0431595,0.226885,0.0832343,-0.696101,-0.08783,-0.00420958;-0.450972,0.121951,-0.220329,1.91617
113;0.00536536,-0.753705,-0.0429371,0.548543,-0.231999,-0.0243543,0.199253,-0.696101,-0.08783,-0.0287492;-0.464494,0.634759,-0.731649,1.83663
114;0.00536536,-0.753705,-0.0429371,0.548543,-0.231999,-0.0243543,0.199253,-0.696101,-0.08783,-0.0287492;-0.464494,0.634759,-0.731649,1.83663
115;0.00536536,-0.753705,-0.0429371,0.548543,-0.231999,-0.0243543,0.199253,-0.696101,-0.08783,-0.0287492;-0.464494,0.634759,-0.731649,1.83663
116;0.00536536,-0.753705,-0.0429371,0.548543,-0.231999,-0.0243543,0.199253,-0.696101,-0.08783,-0.0287492;-0.464494,0.634759,-0.731649,1.83663
117;0.00536536,-0.753705,-0.0429371,0.548543,-0.231999,-0.0243543,0.199253,-0.696101,-0.08783,-0.0287492;-0.464494,0.634759,-0.731649,1.83663
118;0.00536536,-0.753705,-0.0429371,0.548543,-0.231999,-0.0243543,0.199253,-0.696101,-0.08783,-0.0287492;-0.464494,0.634759,-0.731649,1.83663
