Passo;Reservat rio (Ativa  es);Sa da (Ativa  es)
20;0.318287,-0.608274,0.910039,-0.0594546,-0.886643,-0.23793,0.0355565,-0.0919006,-0.506046,0.628788,-0.895326,-0.00989388,-0.163788,0.381969,0.566682,0.27932,0.380448,0.133028,-0.0725125,-0.153589,-0.181741,-0.538685,0.602486,0.102327,-0.369938,0.776589,0.287011,-0.214876,-0.436963,0.73218,0.426917,0.419722,-0.0121257,-0.642267,-0.568588,0.437145,0.696678,-0.577277,0.610782,0.681893,0.601673,-0.398783,-0.195733,0.0550922,0.0275162,0.832686,0.821578,0.338209,0.555209,-0.266231;-4.00538,-1.43465,-3.98564,1.97464
21;0.35342,-0.582887,0.941703,-0.203876,-0.838121,-0.146901,0.107944,-0.103866,-0.399424,0.637386,-0.906876,-0.119179,-0.210363,0.424789,0.424918,0.551108,0.337492,-0.246419,-0.0646723,-0.0268718,-0.202319,-0.426505,0.596281,0.114592,-0.44873,0.819125,0.361486,-0.139813,-0.36388,0.762807,0.374831,0.420808,0.302285,-0.370106,-0.372315,0.490581,0.733253,-0.528191,0.675665,0.681012,0.638821,-0.457375,-0.19579,-0.0502662,0.312745,0.823498,0.877318,0.121581,0.432144,0.0586361;-3.72504,-2.04025,-3.69216,3.0159
22;0.553255,-0.0456327,0.933494,0.295373,-0.758,-0.0806183,-0.119777,-0.159289,-0.0921612,0.283741,-0.9608,0.487695,-0.348536,0.676129,0.645618,0.153518,0.316652,-0.447433,-0.396778,-0.502266,-0.600975,-0.590014,0.833564,-0.504557,-0.669533,0.778189,0.428495,0.293213,-0.770109,0.836688,0.245727,0.83659,0.0870063,-0.822654,-0.335897,0.131626,0.691297,-0.6628,0.890185,0.519868,0.367168,-0.537865,-0.562357,0.285955,0.219115,0.604301,0.807778,0.485736,0.451857,-0.0781177;-3.91287,-3.31034,-4.42358,1.29996
23;0.508884,-0.151975,0.886043,0.28422,-0.680705,-0.147284,-0.347716,0.0335492,0.0767867,-0.164073,-0.952814,0.230988,-0.322221,0.667261,0.0186341,0.274284,0.247163,-0.600975,-0.274319,-0.241395,-0.607651,-0.750571,0.804792,-0.403417,-0.771512,0.863341,0.107031,-0.103327,-0.744566,0.690372,0.493042,0.776445,-0.336274,-0.731553,-0.712626,-0.173674,0.765684,-0.590692,0.781552,0.363043,0.582041,0.0019328,-0.483789,0.534011,0.0959282,0.774559,0.764889,0.722516,0.415711,-0.0543433;-4.38068,-2.33922,-1.08855,2.28494
24;0.341289,-0.581778,0.810521,0.473165,-0.381144,-0.128375,-0.751722,-0.118717,-0.389546,-0.0958068,-0.980024,-0.257663,-0.159532,0.454444,0.196489,0.265874,0.0262002,-0.545716,-0.508002,-0.334537,-0.228237,-0.911593,0.673941,-0.243822,-0.910372,0.924405,-0.214276,0.165194,-0.902823,0.422975,0.618932,0.771486,-0.466942,-0.482482,-0.63316,-0.0877407,0.680912,-0.793573,0.284108,0.61228,0.518769,-0.542653,-0.754697,0.578217,0.164591,0.892798,0.873363,0.756988,0.525374,0.376438;-4.68067,-1.59967,0.339255,2.98654
25;-0.227105,-0.0989215,0.615661,0.764292,0.22138,0.144548,-0.929006,-0.634109,-0.350746,0.462202,-0.976372,-0.356655,-0.359725,0.0300366,0.629941,-0.317974,0.518036,-0.735507,-0.0534926,-0.74843,-0.337548,-0.964583,0.454933,-0.460077,-0.949304,0.871498,-0.0014644,0.0644284,-0.953704,0.258951,0.213036,0.586812,-0.642209,-0.187662,-0.477168,-0.344837,0.640715,-0.941208,0.312931,0.867573,0.917134,-0.312043,-0.625658,0.811643,-0.0204967,0.951001,0.619608,0.841411,0.792801,-0.176374;-5.15581,-3.36698,-3.01183,1.36525
26;0.231957,-0.399581,0.404819,0.870435,0.711864,-0.271643,-0.877968,-0.778191,-0.621673,0.525908,-0.978741,-0.467383,-0.155306,-0.0172932,0.34041,0.574738,0.440794,-0.639974,-0.389513,0.0646739,-0.608491,-0.99169,-0.194095,-0.113893,-0.978594,0.762599,-0.161865,0.430298,-0.955369,0.23243,0.370636,0.513275,-0.271161,-0.331403,-0.369548,-0.0082239,0.613044,-0.917029,0.820796,0.944143,0.901937,0.314604,-0.616338,0.347015,-0.261983,0.786882,-0.0871926,0.587151,0.840585,-0.124656;-3.18373,-2.05935,-1.30099,-0.879426
27;0.186259,-0.327206,0.479366,0.878685,0.600603,-0.00755572,-0.832943,-0.7393,-0.714965,0.311889,-0.960282,-0.398897,-0.509078,-0.101611,0.264853,0.501845,0.459351,-0.490454,-0.693109,0.2394,-0.608782,-0.993617,-0.558894,-0.0300623,-0.922702,0.855452,0.0622706,0.596223,-0.982531,0.591312,0.39014,0.510654,0.112699,-0.80421,-0.69588,-0.0333923,0.131693,-0.923277,0.845863,0.81648,0.940093,0.1721,-0.681632,0.0295411,-0.40938,0.71683,-0.182732,0.658572,0.858139,0.30399;-2.55629,-0.94354,-0.834612,-1.15174
28;0.27839,-0.676247,0.712841,-0.0485743,-0.804861,-0.307692,-0.496677,-0.15105,-0.308447,0.350239,-0.841346,-0.458057,-0.188867,0.395361,-0.278998,0.132716,0.490002,-0.468863,-0.478354,0.753961,-0.214437,-0.927713,0.0161315,0.157464,-0.656351,0.823344,0.182282,-0.18658,-0.836344,0.777355,0.0783434,0.736097,0.273314,-0.59582,-0.63396,-0.187439,0.781397,-0.673361,0.643553,-0.0779688,0.85101,-0.25482,-0.299429,-0.383948,0.00836002,0.463859,0.872389,-0.0884687,0.587695,0.519891;-1.99394,-2.34863,-1.29141,4.80847
29;0.31128,-0.595737,0.62513,-0.161349,-0.960115,-0.424934,-0.113394,0.189539,-0.469242,0.614269,-0.781562,-0.394474,0.0466704,0.443898,0.394255,0.0226761,0.46032,0.0250779,-0.332483,0.240289,-0.192202,-0.609812,0.578177,0.0461051,-0.695592,0.824868,0.0443538,0.00569806,-0.777546,0.541324,0.510613,0.624327,0.263106,-0.806376,-0.377356,0.287007,0.823136,-0.540013,0.486633,0.586801,0.662496,-0.76734,-0.144727,-0.114956,0.145751,0.731407,0.87831,-0.136979,0.347601,0.108342;-2.31998,-2.59926,-3.22552,3.26992
30;0.318412,-0.60887,0.915017,-0.0563942,-0.886217,-0.22884,0.0378644,-0.0924098,-0.50329,0.62236,-0.895781,-0.00325082,-0.162358,0.379728,0.566213,0.287259,0.381769,0.145362,-0.0722899,-0.150324,-0.180949,-0.532826,0.601791,0.101023,-0.361534,0.780298,0.290026,-0.217244,-0.440774,0.740344,0.424476,0.410952,-0.0197533,-0.636501,-0.571141,0.446571,0.695542,-0.580469,0.612928,0.683988,0.601488,-0.399705,-0.198861,0.0559844,0.0195504,0.834252,0.819283,0.346124,0.554686,-0.264796;-4.0586,-1.40413,-3.9599,1.93388
31;0.353681,-0.582303,0.942968,-0.20975,-0.836981,-0.150031,0.11106,-0.107555,-0.397596,0.641457,-0.906713,-0.127308,-0.21272,0.425284,0.424821,0.553698,0.339213,-0.252388,-0.065251,-0.030055,-0.202405,-0.426133,0.595642,0.114194,-0.446643,0.819042,0.367045,-0.142575,-0.373221,0.765877,0.373183,0.420711,0.308675,-0.364975,-0.36292,0.496217,0.732804,-0.529503,0.674228,0.682799,0.641029,-0.461842,-0.193884,-0.0541541,0.320799,0.822414,0.879178,0.117424,0.423264,0.0611016;-3.71498,-2.04471,-3.70553,3.06521
32;0.365543,-0.510253,0.923434,-0.164519,-0.907262,-0.0999926,0.27601,-0.12247,-0.449381,0.693909,-0.893694,-0.0299768,-0.231651,0.376032,0.476841,0.246934,0.426699,-0.0211308,-0.0764915,0.0218712,-0.204448,-0.41715,0.592066,0.0357389,-0.307969,0.841991,0.408866,-0.152646,-0.440715,0.603654,0.413645,0.628946,0.303339,-0.568666,-0.163652,0.321062,0.729668,-0.598046,0.681072,0.684394,0.562779,-0.387496,-0.150492,-0.0901902,0.3498,0.828054,0.859016,0.0702563,0.552468,-0.067499;-3.65104,-3.04758,-4.07188,2.83399
33;0.35602,-0.563705,0.945459,-0.211445,-0.892225,-0.0776922,0.260903,-0.116219,-0.42168,0.597743,-0.90555,0.074063,-0.34126,0.321709,0.438443,0.303019,0.43901,0.0907827,-0.0821877,0.0803469,-0.202014,-0.399168,0.591005,0.0692246,-0.26119,0.839305,0.276524,-0.0112352,-0.278058,0.723253,0.386976,0.495362,0.134388,-0.566833,-0.324789,0.38901,0.741544,-0.611781,0.706269,0.660676,0.542889,-0.330085,-0.187874,-0.135275,0.415125,0.850558,0.81083,0.371413,0.429821,-0.0442521;-4.1339,-2.77288,-2.82412,2.66547
34;0.355487,-0.567375,0.947833,-0.262585,-0.875587,-0.132645,0.30555,-0.140948,-0.364086,0.624953,-0.900441,-0.0178628,-0.353587,0.3617,0.503032,0.237839,0.404494,-0.173325,-0.0798083,0.118914,-0.204231,-0.316065,0.58187,0.0653915,-0.32717,0.843474,0.31225,-0.0896171,-0.351313,0.744813,0.329081,0.369077,0.284741,-0.501411,-0.28054,0.341803,0.701072,-0.611055,0.622865,0.597375,0.506125,-0.346161,-0.164257,-0.21911,0.566145,0.835342,0.863329,0.249788,0.336319,-0.0251602;-3.79003,-3.35238,-3.38762,3.53062
35;0.358425,-0.553997,0.90176,-0.224529,-0.887652,-0.179031,0.333785,-0.150133,-0.401069,0.63361,-0.893585,0.0206552,-0.361321,0.353375,0.504914,0.155506,0.40821,-0.0756154,-0.0838088,0.120315,-0.203276,-0.361318,0.592187,0.0602224,-0.354013,0.833393,0.269691,-0.0933073,-0.307806,0.638122,0.36433,0.436098,0.336404,-0.592746,-0.254907,0.268734,0.678668,-0.61135,0.604352,0.630651,0.5103,-0.399808,-0.127576,-0.227535,0.504249,0.819873,0.860933,0.278644,0.449305,-0.0884222;-3.4495,-3.61601,-3.52099,3.40235
36;0.35425,-0.572064,0.913255,-0.209606,-0.887777,-0.139411,0.281554,-0.110305,-0.414432,0.620149,-0.896935,0.0322276,-0.37938,0.346403,0.49224,0.227357,0.394483,-0.0832869,-0.0797969,0.14121,-0.201994,-0.352512,0.592149,0.0762276,-0.334592,0.829182,0.224018,0.00980399,-0.240437,0.690211,0.360666,0.388225,0.236558,-0.622289,-0.35885,0.300968,0.707909,-0.59794,0.608823,0.642111,0.513304,-0.390264,-0.149415,-0.202187,0.510765,0.829417,0.842001,0.332652,0.432076,-0.102872;-3.69024,-3.26794,-3.21287,3.15571
