Passo;Reservat rio (Ativa  es);Sa da (Ativa  es)
64;0.863388,0.278205,0.77694,0.309946,0.907745,0.630166,0.880933,-0.109849,-0.420775,0.113884,0.476257,-0.371322;-3.72346,-1.4291,-4.81808,2.30734
65;0.866363,0.278205,0.800182,0.213674,0.909464,0.394138,0.881003,-0.109849,-0.451156,0.458088,0.620647,-0.215785;-3.11751,-1.58901,-5.35585,2.67938
66;0.859581,0.278205,0.744561,0.197369,0.909979,0.511772,0.881232,-0.109849,-0.352902,0.345639,0.831384,0.162192;-2.63088,-0.287752,-5.39892,2.17794
67;0.858401,0.278205,0.733926,0.249661,0.908801,0.653724,0.8813,-0.109849,-0.338699,0.033843,0.778166,0.0385374;-2.73612,-0.126142,-5.3844,1.91064
68;0.862152,0.278205,0.766754,0.257109,0.908595,0.621266,0.881144,-0.109849,-0.438833,0.13979,0.549922,-0.298856;-3.4373,-1.29399,-5.17506,2.33849
69;0.862679,0.278205,0.771133,0.203996,0.909249,0.456135,0.881116,-0.109849,-0.433157,0.407215,0.641971,-0.188147;-3.0689,-1.44924,-5.35849,2.60369
70;0.858881,0.278205,0.738294,0.207043,0.909341,0.52777,0.881203,-0.109849,-0.342611,0.324438,0.80884,0.106642;-2.67389,-0.430987,-5.33791,2.20083
71;0.859102,0.278205,0.740281,0.255061,0.908679,0.640251,0.881216,-0.109849,-0.340243,0.0816766,0.766469,0.0149729;-2.78929,-0.272079,-5.3233,1.98164
72;0.903301,-0.262097,0.634721,0.0595738,0.863179,0.540988,0.949114,-0.258242,-0.707316,-0.221581,0.764265,-0.277983;-0.449107,-0.101084,-8.12671,1.86078
73;0.930347,-0.0835754,-0.107576,0.597097,0.95514,0.0815446,0.957134,0.288358,-0.901032,-0.0380632,0.0146368,-0.278703;-5.3634,-0.864569,-4.69239,2.87594
74;0.969843,-0.490066,0.577765,0.262475,0.965395,-0.737983,0.948166,0.546297,-0.45259,0.408041,0.180743,0.169454;-4.54346,-0.497887,-7.48747,1.58037
